age,shape,margin,density,node,percentage
0.0,0.0,0.0,0.0,241,40
0.0,0.0,0.0,0.0,852,40
0.0,0.0,0.0,0.0,436,40
0.0,0.0,0.0,0.0,386,40
0.0,0.0,0.0,0.0,345,40
1.1220141967538255e-07,3.858499054744103e-05,3.384903276576335e-05,8.789102512659956e-07,311,40
5.929877455636088e-05,0.0004485630250420818,0.0014150512793929372,5.013934833746076e-05,875,40
0.0,0.0,0.0,0.0,267,40
1.7563460958183205e-06,1.0893813868163398e-05,0.0007569865019569431,7.653027292294473e-05,35,40
1.1342100032402801e-07,3.7267016313388134e-05,1.5117087089432062e-05,8.884636235623652e-07,78,40
0.0,0.0,0.0,0.0,604,40
0.0,0.0,0.0,0.0,347,40
0.0,0.0,0.0,0.0,191,40
0.002334844320813148,0.003458218121693358,0.0036746055398379036,0.0023849861504605433,104,40
0.01632933557527554,0.017333593969556915,0.018191932679961442,0.017780978357004137,711,40
0.0016222565681601585,0.003058535044660386,0.003277002252553305,0.0008701465326273938,754,40
0.0021577491186861243,0.003258812537635696,0.0036573730470222886,0.0023920514195221224,101,40
0.0,0.0,0.0,0.0,790,40
3.151840638148569e-05,3.394412123968258e-05,0.00016220043203466823,1.1446344104046105e-05,926,40
0.0,0.0,0.0,0.0,94,40
0.002490506447863644,0.003290139583588299,0.003784363600479304,0.0016954732940880266,228,40
0.0,0.0006630085765203613,3.900846388851287e-07,0.0,388,40
0.007076286340705895,0.007507002541973733,0.007617410565482403,0.007423848153522339,828,40
0.0,0.0,0.0,0.0,90,40
0.0,0.0,0.0,0.0,672,40
0.0,0.0,0.0,0.0,681,40
0.0,0.0,0.0,0.0,248,40
0.0,0.0,0.0,0.0,370,40
0.0,8.434782608695688e-05,4.001602898550767e-05,0.0,34,40
0.0,0.0,0.0,0.0,809,40
0.0,0.0,0.0,0.0,366,40
0.0,0.0,0.0,0.0,238,40
1.971918774425465e-05,0.0010119566218244882,0.0007786011248293308,8.46162728871917e-05,41,40
0.00573901088391294,0.005802539426614689,0.005750927214837912,0.005276046933168283,371,40
0.0,0.0,0.0,0.0,17,40
4.040592298387958e-05,0.000346348257288742,0.0010048875454371333,2.8069424451347267e-05,435,40
0.004126481787881895,0.004420460146549007,0.004496584332179867,0.0035361604247716176,306,40
0.0,0.0,0.0,0.0,552,40
1.7923583591065303e-06,1.294076241576742e-05,0.00023321604013916064,2.546419991267499e-06,233,40
0.0,0.0,0.0,0.0,504,40
0.0,0.0,0.0,0.0,937,40
0.0002831738042473389,0.0009098336790919633,0.0017037090909695779,0.0001950503273802565,535,40
0.0,0.0,0.0,0.0,207,40
0.0014229290853969906,0.00247335582188325,0.0033023114096116407,0.0018780155067770015,339,40
8.276316492409341e-07,5.522028674797446e-05,5.2054412508033117e-05,2.168515996097896e-06,189,40
1.0983928452432186e-07,3.524096051482498e-05,1.3579542238699581e-05,8.604068775551326e-07,676,40
0.00021884564060357692,0.0021594280268518724,0.0029233250343779337,0.00018259628535568774,298,40
0.0,0.0,0.0,0.0,709,40
0.0,0.0,0.0,0.0,309,40
3.549948676233951e-06,1.2206375951361672e-05,1.4158775898843626e-05,1.7031846462930048e-06,917,40
0.0,0.0,0.0,0.0,119,40
0.0,0.0,0.0,0.0,159,40
0.0,0.0,0.0,0.0,945,40
0.0,0.0,0.0,0.0,433,40
0.0,0.0,0.0,0.0,429,40
0.0,0.0,0.0,0.0,919,40
0.0,0.0,0.0,0.0,915,40
0.0,0.0,0.0,0.0,858,40
0.0,0.0,0.0,0.0,737,40
0.0,0.0,0.0,0.0,900,40
0.0,0.0,0.0,0.0,452,40
0.0,0.0,0.0,0.0,625,40
0.00017684789835732432,0.0023444405209329423,0.0028145066825867398,0.00012747291408016332,6,40
0.0,0.0,0.0,0.0,486,40
0.0,0.0,0.0,0.0,472,40
0.0,0.0,0.0,0.0,865,40
0.004498434447405917,0.004798396667631915,0.004541138414295541,0.003879836733531153,541,40
0.0,0.0,0.0,0.0,389,40
7.940651140818366e-06,2.117336597201603e-05,0.0004962232882107132,5.245603933561029e-06,304,40
2.974668653547598e-05,0.0002883437902779641,0.000902477501970356,2.2066601948742366e-05,612,40
0.0,0.0,0.0,0.0,194,40
0.0006049453358948141,0.0013893422724802673,0.002330009498459895,0.00045737031783306815,509,40
0.0078021497449047746,0.008140982937988574,0.008271080417356018,0.007818675522128409,891,40
0.0,0.0,0.0,0.0,516,40
0.0,0.0,0.0,0.0,483,40
0.0,0.0,0.0,0.0,467,40
0.002536943649607701,0.0035539578746901913,0.003722656284323167,0.0021179726553233894,923,40
0.0,0.0,0.0,0.0,148,40
0.0,0.0,0.0,0.0,943,40
0.004147367603098339,0.004498071166473092,0.004236013156401176,0.0034850103850358944,59,40
0.0,0.0,0.0,0.0,833,40
8.377247181341162e-07,5.329220945935156e-05,3.449767600297653e-05,2.19496131312348e-06,684,40
0.0,0.0,0.0,0.0,683,40
0.00857828592522655,0.008953778726365321,0.009093140615829292,0.008503391472091776,372,40
0.0,0.0,0.0,0.0,154,40
0.0,0.0,0.0,0.0,839,40
0.0,0.0,0.0,0.0,3,40
0.0,0.0,0.0,0.0,677,40
8.780067539045044e-07,3.909701399801905e-05,1.2916421645280277e-06,8.695652173912086e-07,953,40
0.0002457876811649935,0.001060515885900332,0.0022204186285370194,0.00017510924143873883,736,40
0.0,0.0,0.0,0.0,667,40
0.005493019293491153,0.005879314869030628,0.005957052718258895,0.00559655817711119,720,40
0.0,0.0,1.7391304347824171e-06,0.0,890,40
0.0,0.0,0.0,0.0,242,40
