checking account status,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,employment, Installment,status n sex, Other debtors / guarantors,residence,Property,Age in years,Other installment plans,Housing,existing credits no.,Job,liability responsibles,Telephone,foreign worker,node,percentage
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507,30
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,818,30
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452,30
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368,30
0.0,1.2783624285875767e-08,0.0,0.0,5.433019453587018e-08,0.0,0.0,0.0,0.0,6.072193211027813e-08,0.0,0.0,0.0,3.195900677397736e-08,6.391780292000492e-08,0.0,0.0,0.0,0.0,1.2783484644008756e-07,242,30
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,929,30
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262,30
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810,30
0.0,4.890591893160564e-07,0.0,0.0,5.308822969062756e-07,0.0,0.0,0.0,0.0,1.4896853043419882e-06,0.0,0.0,0.0,2.4131112394880507e-06,1.0167177624116159e-06,0.0,4.7619047619042376e-07,0.0,0.0,3.461941839719234e-06,318,30
0.0,4.923857898833837e-07,0.0,0.0,3.3916012518607835e-06,0.0,0.0,0.0,0.0,7.12661290703271e-08,0.0,0.0,0.0,2.429518754344298e-06,1.0236328264854876e-06,0.0,4.79429543245817e-07,0.0,0.0,3.009300727773489e-06,49,30
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446,30
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,30
0.0,1.9569438796458806e-08,0.0,0.0,8.153888020222794e-08,0.0,0.0,0.0,0.0,1.5003041555373403e-06,0.0,0.0,0.0,1.9699670204182987e-06,7.827731107315733e-08,0.0,4.827129788642519e-07,0.0,0.0,3.0299000096045633e-06,968,30
0.0,4.958929061937104e-07,0.0,0.0,2.463012547650536e-06,0.0,0.0,0.0,0.0,1.5106479766703795e-06,0.0,0.0,0.0,1.983547565477679e-06,1.0311823435477277e-06,0.0,9.852210015977055e-09,0.0,0.0,3.050783334222486e-06,345,30
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,971,30
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133,30
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104,30
0.0,2.314810118078726e-08,0.0,0.0,2.9562888049706045e-06,0.0,0.0,0.0,0.0,1.5211354404361946e-06,0.0,0.0,0.0,1.9973166914947032e-06,1.0383418998468876e-06,0.0,4.861101122686976e-07,0.0,0.0,2.595787636083502e-06,6,30
0.0,2.4155605012633656e-05,0.0,0.0,9.492385530884149e-05,0.0,0.0,0.0,5.806918765806416e-07,6.442670919848292e-06,0.0,0.0,5.807176188448829e-08,0.000533253260412032,9.074120923264204e-05,3.843696046216771e-06,4.969116260717034e-06,0.0,0.0,2.9739802616921704e-05,600,30
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496,30
0.0,2.3309976014219338e-08,0.0,0.0,2.0245927726306437e-06,0.0,0.0,0.0,0.0,1.531769560015244e-06,0.0,0.0,0.0,2.011278354185739e-06,9.323927526142045e-08,0.0,4.895091437460226e-07,0.0,0.0,2.6139309209944493e-06,702,30
0.0,2.3474130774882854e-08,0.0,0.0,6.103135775175392e-07,0.0,0.0,0.0,0.0,1.542553433459943e-06,0.0,0.0,0.0,2.0254366206846406e-06,1.04625806307881e-06,0.0,1.6767247046723598e-08,0.0,0.0,2.632329681244688e-06,472,30
0.0,4.998287261008944e-07,0.0,0.0,2.519348128529475e-06,0.0,0.0,0.0,0.0,1.0773122661442053e-06,0.0,0.0,0.0,1.3508780385325551e-07,1.0536768489757333e-06,0.0,4.930749512664995e-07,0.0,0.0,2.650989351573795e-06,598,30
0.0,2.7210819158302795e-08,0.0,0.0,1.1088099841586796e-06,0.0,0.0,0.0,0.0,1.085005814741998e-06,0.0,0.0,0.0,2.0407602004129214e-06,1.0612016069300614e-06,0.0,4.965965630077236e-07,0.0,0.0,2.1937539565592737e-06,502,30
0.0,2.740658044721145e-08,0.0,0.0,3.0214815688069647e-06,0.0,0.0,0.0,0.0,1.092810050810912e-06,0.0,0.0,0.0,2.055436055782222e-06,1.068834623956023e-06,0.0,2.3980764774003354e-08,0.0,0.0,2.209530046163422e-06,433,30
0.0,5.037928945287873e-07,0.0,0.0,3.0433632259074406e-06,0.0,0.0,0.0,0.0,1.100727380439903e-06,0.0,0.0,0.0,2.070324562168888e-06,1.0765782533548e-06,0.0,2.4154538431785985e-08,0.0,0.0,2.225534729019545e-06,119,30
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108,30
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647,30
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589,30
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374,30
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,910,30
0.0,5.1127434316504305e-06,0.0,0.0,5.3388017145140143e-05,0.0,0.0,0.0,2.0236020393143804e-06,2.101183753456811e-05,0.0,0.0,5.952355593160049e-08,0.0005252504604074283,8.526169424131272e-05,1.083237877514935e-06,4.617362945742836e-06,0.0,0.0,2.858679330992053e-05,718,30
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,744,30
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494,30
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404,30
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274,30
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,30
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,721,30
0.0,5.074698471947679e-07,0.0,0.0,2.5893946058843494e-06,0.0,0.0,0.0,0.0,1.1087602799651863e-06,0.0,0.0,0.0,2.085430375543662e-06,1.0844349171336623e-06,0.0,2.433084893128807e-08,0.0,0.0,2.241773010151866e-06,644,30
