age,shape,margin,density,node,percentage
5.781540368168283e-06,0.00011391868798689516,0.0007240571796737574,4.021498373172188e-06,241,20
0.0,0.0,0.0,0.0,852,20
0.0,0.0,0.0,0.0,436,20
9.83332038199817e-07,3.002656607977759e-05,0.00026549505082024204,6.93741496598563e-07,386,20
0.0,0.0,0.0,0.0,345,20
3.129235587621906e-07,7.218429517683635e-06,6.71164887713047e-06,2.0408149794569048e-08,311,20
1.0565513542363793e-06,3.957264874651775e-05,0.0003230578597994518,1.4038704652293055e-06,875,20
0.0,3.3877911026001897e-07,1.7006698900490323e-07,0.0,267,20
9.96324903193275e-07,7.2925485457916136e-06,0.0009730236154824289,3.0632766426363375e-05,35,20
3.2088307020918046e-08,6.60803002277272e-06,2.5474724076553063e-06,1.2835322808367217e-08,78,20
0.0,0.0,0.0,0.0,604,20
0.0,0.0,0.0,0.0,347,20
3.876776443304784e-07,1.2825580926700148e-05,3.6861380670566167e-05,7.387661048047405e-07,191,20
7.214998705528481e-06,0.0005931947470602397,0.0007165913938101034,0.00010030580568638288,104,20
0.004145256683353373,0.0047772708348789595,0.005548928138052569,0.0039046522349349432,711,20
0.0,0.0,0.0,0.0,754,20
6.703126675379957e-05,0.0004842925202537314,0.0020924205913529226,0.00040149493687067535,101,20
0.0,0.0,0.0,0.0,790,20
2.907145764288301e-08,3.6727328754954384e-06,1.6628228435203319e-06,0.0,926,20
0.0016319029435849911,0.0022230232517896323,0.0025944670477747182,0.0014560569974616869,94,20
9.840461879674013e-05,0.00039283334427970906,0.001294635791140505,4.322468539413611e-05,228,20
3.1128232105299955e-06,0.0009806912818783138,3.929391435261774e-05,1.42699360038766e-06,388,20
0.004757346374275425,0.005481629644038409,0.006366676163576666,0.004454764597958854,828,20
4.2609838023621577e-07,2.147826376000553e-05,3.972799283285809e-05,7.624774195172221e-07,90,20
0.0,3.1652387480076896e-07,0.0,0.0,672,20
0.0,0.0,0.0,0.0,681,20
0.0003431624029084635,0.0007855859328820517,0.0018565127728000337,0.00013930201251430603,248,20
0.0,0.0,0.0,0.0,370,20
0.0,0.0,0.0,0.0,34,20
0.0,0.0,0.0,0.0,809,20
0.0,0.0,0.0,0.0,366,20
0.0,0.0,0.0,0.0,238,20
3.0642887785741556e-08,0.00012085664221185827,8.329765201280243e-05,1.360544217686925e-06,41,20
0.001563560845777317,0.0020482380519231645,0.002466316066015319,0.0015035528254292055,371,20
0.0,0.0,0.0,0.0,17,20
6.833847859208295e-05,0.0004846059762145187,0.0014421680739777978,6.82032049064222e-05,435,20
1.985073018170008e-05,0.00016001751556134355,0.0008478257315567446,1.6912311407960196e-05,306,20
0.0,0.0,0.0,0.0,552,20
3.010053578953374e-08,3.816566228892208e-06,7.651786872445862e-05,0.0,233,20
0.0,0.0,0.0,0.0,504,20
0.0,0.0,0.0,0.0,937,20
0.0002327572533876282,0.0008026075436478201,0.0019420119305293823,0.0001826941222277485,535,20
0.0,3.0972783706101924e-07,0.0,0.0,207,20
0.0,0.0,0.0,0.0,339,20
4.4062446138063217e-07,2.493539333313216e-05,4.104485335873418e-05,7.884709679098546e-07,189,20
0.0,3.0111613550996645e-07,0.0,0.0,676,20
0.0009526490133109229,0.002002068569441985,0.0024102611228271273,0.0009649903313114766,298,20
0.0015673110367148608,0.00187166400491851,0.0023527255136655953,0.000954504964245197,709,20
0.0,0.0,0.0,0.0,309,20
0.0,3.2603331641295294e-07,0.0,0.0,917,20
0.0008359248417316475,0.001483742012538704,0.0023689220958015996,0.0007428238118138377,119,20
0.0,0.0,0.0,0.0,159,20
0.0,0.0,0.0,0.0,945,20
0.0,3.4687536597790696e-07,2.8298939165840055e-07,0.0,433,20
0.0,3.0321722953234596e-07,0.0,0.0,429,20
0.0,0.0,0.0,0.0,919,20
0.0,0.0,0.0,0.0,915,20
0.0,0.0,0.0,0.0,858,20
0.0,0.0,0.0,0.0,737,20
0.0,0.0,0.0,0.0,900,20
9.53368594536669e-05,0.00020804800769295026,0.0021138069796900498,6.385658479221772e-05,452,20
0.0,0.0,0.0,0.0,625,20
