checking account status,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,employment, Installment,status n sex, Other debtors / guarantors,residence,Property,Age in years,Other installment plans,Housing,existing credits no.,Job,liability responsibles,Telephone,foreign worker,node,percentage
8.275334877689024e-06,7.40549655239843e-05,5.66234845766328e-06,7.0166629958081065e-06,2.0471259761674133e-05,8.670375760532485e-06,2.980099747884233e-06,6.990826732364025e-06,3.183843686288712e-05,4.638541408599843e-05,1.6825938534605476e-05,2.50094696817133e-05,2.606448094749896e-05,2.257501168488619e-05,6.536074926032662e-05,2.053433063413634e-05,1.2144909552920727e-05,2.430598766731961e-06,6.151091011034298e-06,3.2623041408808466e-05,507,10
8.901548544306439e-06,1.1277373045026648e-05,5.756457224967434e-06,4.102836135041801e-06,9.609475901467969e-06,1.737848011026683e-06,4.13252260048392e-06,2.8754628093348443e-06,5.967688144684743e-06,8.659303855555154e-06,2.9082966931008273e-06,4.730096178750616e-06,4.8449599913059276e-06,3.7478824566976553e-06,1.121638568583387e-05,5.8263375780868405e-06,4.779156684227149e-06,6.43651715409817e-06,2.261117777596033e-06,7.495134407780783e-06,818,10
0.00024238194338826514,0.0004270399030963507,0.00015806380568733736,0.0002519001086320532,0.0003462190490410138,0.00017771691865039427,0.0002052077026365078,0.00018704237996521782,0.0003464991883243532,0.0003359509699278542,0.0001876007524519046,0.00022966457074743844,0.00027474505807627877,0.00016730960974024097,0.0004145414423040925,0.0003280497184399257,0.00035160495865851123,0.0003835708590841524,0.0001962017284479581,0.00034409467285795704,452,10
3.518575075932374e-07,3.6820968451296697e-07,1.3669793134434344e-07,9.406944809675634e-08,1.8946713630659274e-07,3.507227889371055e-08,1.1952494241015112e-07,1.1267991279948396e-07,1.3296514539867201e-07,2.459293788370395e-07,4.8803062009244455e-08,6.151974306826895e-08,1.0344712390948861e-07,7.84667314997836e-08,2.9319681187769165e-07,1.1296986889052695e-07,1.3158015915992401e-07,5.387272519415692e-07,9.550685390970055e-08,3.8296286731897684e-07,368,10
4.516307547572756e-05,6.44810293383139e-05,3.4654541189922585e-05,3.0722419626886104e-05,5.4426319204330445e-05,1.770676557041735e-05,3.0643491735502995e-05,2.5497824126836307e-05,4.358833093732942e-05,5.032609771780444e-05,2.1684782805420086e-05,2.748682798842251e-05,3.677375535707767e-05,2.984251134616607e-05,6.38067203826968e-05,3.948645183889672e-05,3.929293848703083e-05,0.0001087686282182653,1.8881632524413673e-05,5.444918616357092e-05,242,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,929,10
2.0090472890090393e-07,4.39778001469243e-06,4.058350284046525e-06,7.688964496781298e-07,1.6242444001693174e-06,1.0621827533319084e-08,1.6015861747825946e-06,1.9883577516243184e-06,2.0077911743572023e-06,2.339693263506034e-06,3.840914344153453e-07,6.217981548731806e-08,1.2232306644423662e-06,1.2053411066051012e-06,4.491203416876696e-07,1.1702144392627143e-06,1.1811886449194222e-06,2.32789030260566e-06,1.5485727050094887e-06,1.9830398865785256e-06,262,10
5.723774463921345e-07,4.8657779817474885e-06,4.882596702331516e-07,4.395500087912623e-07,2.447783402588939e-06,1.067922779193936e-08,4.250677006151119e-07,1.184365870079558e-06,1.2409402776169103e-06,1.981782441501887e-06,8.305217085885256e-07,3.358683309760658e-06,8.225099010663381e-07,8.415565777964658e-07,5.488315262474651e-06,4.3571277430808524e-07,1.9652442735301717e-06,1.969916247837217e-06,1.5567643011521208e-06,2.32698084680382e-06,810,10
0.000275735891053867,0.0004925929932731079,0.0002656991296341978,0.0003805707700946922,0.00047489928781973417,0.0003533217934832923,0.00040466107969142203,0.000385637181643366,0.0004289393599084938,0.00047357932209678806,0.00033883254250774734,0.0003752194314999109,0.00041572136784656264,0.00019843301211297602,0.0004636835126421205,0.0004254462268962174,0.0004593119433880799,0.0005080704727532474,0.00036518854395562166,0.0004629537633455802,318,10
0.0002994146178687887,0.0005947370662207454,0.0003750124059389002,0.0004153379693869221,0.0005534099872203156,0.00039600618300700654,0.00048207981903204764,0.000482953352971556,0.00046184361969698966,0.0004281387069014883,0.00031546453806467127,0.00034739031146491,0.0004471439633328461,0.0002546472876657562,0.0005985597992302747,0.00046219418802458047,0.0005535633535689297,0.0005918507415752056,0.00041169657739866363,0.0005603657610179665,49,10
2.1723174045165475e-05,2.5742844875749974e-05,1.384881359888918e-05,1.0896192677705517e-05,2.121564005645088e-05,5.528756270922321e-06,1.2325521705488e-05,8.964082582825894e-06,1.804231352920515e-05,2.1542401506049218e-05,7.984982222457196e-06,1.1292432420583508e-05,1.3681135670447738e-05,9.680543417194929e-06,2.808532739888714e-05,1.5190620868393846e-05,1.3515595504759726e-05,1.9698187543361456e-05,6.714465778035611e-06,2.0238296031475563e-05,446,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5827793605569641e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.582779360556964e-09,142,10
0.00030375370137324673,0.00046745194409975846,0.0003796035141052721,0.0004209125659281781,0.0004893990038374483,0.00028343773183094046,0.000471508219345251,0.00033101312080681356,0.0005030898801513983,0.0005794927548891981,0.00044793989619570256,0.0004137278883847794,0.00045551729663596894,0.0002583650860387397,0.000451681320789639,0.00046841998301302523,0.000561144664102016,0.0005998918558042326,0.0002929787496634543,0.0005678379010371284,968,10
0.0003475549430420025,0.0005118945106493654,0.00031862026075359486,0.0004009072946641757,0.00048820412348194635,0.00036971732355574067,0.00042980424484769983,0.0003982368417916561,0.00047626902828198404,0.0004924758927064505,0.00036749514524295765,0.0004109864964833821,0.0004308753398154538,0.0002944845191101197,0.0004896225567168522,0.00045811092478671364,0.00048825002584375506,0.0005151944122910672,0.00040044423118446417,0.00047682185479057306,345,10
5.06143500801098e-05,3.2612624184289886e-05,8.634622603090083e-06,5.063293141431747e-06,1.367590856148047e-05,2.395744856254198e-06,9.480154237796313e-06,5.17277228695158e-06,2.174437431198188e-05,3.062536811254551e-05,2.875780208275919e-06,1.8145218207924884e-05,1.543614899293102e-05,1.4993285678755146e-05,5.213004816237699e-05,1.3272736187041591e-05,9.07548618587455e-06,1.519052728614621e-06,3.850197527636709e-06,2.4150394462977315e-05,971,10
4.2554049504771186e-05,2.7738871597038153e-05,4.848894188791673e-06,9.42974919841182e-06,2.110623550260833e-05,1.1883996159714436e-06,4.760122758587118e-06,2.062966113530233e-06,1.280559069760971e-05,1.5266970214213476e-05,1.5946888082294913e-06,4.4185208693515963e-07,8.99485197535557e-06,1.2516402550398491e-06,2.789009173760607e-06,1.4394405839371537e-05,1.2192132343446699e-05,1.6233220859393527e-05,1.335129866795357e-06,1.339860221994741e-05,133,10
0.0003079669782003879,0.0006119033534157498,0.000384079834770624,0.0004724725150516832,0.0005643056747644264,0.0002860038347669907,0.00042455794197789076,0.00033477511335245464,0.0005097342504059442,0.0005875037729696454,0.00045228063847082536,0.00048485564046416604,0.00045056978333651333,0.00026224738086859573,0.0004573108926183558,0.0004748525032922514,0.0005689355379895618,0.000607868018976227,0.00029595983034634435,0.0005757924349841439,104,10
0.0004630426879813415,0.0007942440761447827,0.0004522078944834652,0.0006180622064032096,0.0007506089642632576,0.0005836181979304179,0.0006423851973977671,0.0006263751581239464,0.0007055731390792101,0.0007417950272953283,0.0005644309090327825,0.0006145527972220878,0.0006726116077919002,0.0003886250317617617,0.00075653114941581,0.000685219466638614,0.0007246001072489534,0.000799197020332057,0.0006004312283737039,0.0007302376907148316,6,10
0.0003470779663652969,0.0005828942399999501,0.0003675979590352168,0.0004116328947355648,0.0005499542340765815,0.0004015597595908002,0.00039515760486225743,0.00025062554859626475,0.00045766492108668803,0.00030270383348178997,0.000252357588601788,0.0003372081738962629,0.0004997816083525365,0.0002469220371329663,0.0006045612468697369,0.0004584454159351054,0.0005567500651578999,0.0005942535659770507,0.0004023507532644329,0.0005641109238528523,600,10
6.108236631419886e-08,1.780623163380546e-08,7.122502243572839e-09,0.0,3.56125272918458e-09,2.1119781989344878e-09,1.7806267806265844e-09,3.5612527213348764e-09,3.5612527213348764e-09,3.5612527213348764e-09,0.0,1.1015095550468587e-08,1.7806267806265844e-09,1.7806267806265846e-09,1.7806231313408667e-08,0.0,0.0,0.0,3.5612527330546674e-09,3.561252721334875e-09,496,10
1.246543726553557e-06,7.956646621785499e-07,3.7752656514625464e-07,7.77777777777692e-07,1.1517251736139317e-06,2.122853609046232e-09,7.79566469851408e-07,3.578456840761615e-09,3.7394846936540714e-07,7.443184818900526e-07,3.703703703703296e-07,1.1068981189331705e-08,7.425296117372594e-07,3.721594202898141e-07,3.882608328996904e-07,3.703703703703296e-07,4.074074074073626e-07,3.703703703703296e-07,7.813551610931744e-07,7.443184818900526e-07,702,10
8.97585195294721e-06,1.1364617009694186e-05,5.8026325045445375e-06,4.1343069610678445e-06,9.684075009296364e-06,1.7512974917639468e-06,4.164094826245645e-06,2.897643125020904e-06,6.013546633617248e-06,8.724946369332888e-06,2.9311529268120227e-06,4.767533457131927e-06,4.8822034257062015e-06,3.7784617849558214e-06,1.1302550798164326e-05,5.8707093442343516e-06,4.8157773152297176e-06,6.484935590908831e-06,2.2784620532491088e-06,7.551737184903452e-06,472,10
