sepal_length,sepal_width,petal_length,petal_width,node,percentage
0.0,0.0,0.0,0.0,14,10
0.001169530626269226,0.0011653037600138742,0.0011424706980651504,0.0011412948346437978,98,10
0.001206928695335615,0.0011970801926874195,0.0011784125574653623,0.001174097520731129,75,10
0.0014773858240738971,0.0014615059218980198,0.001456777069992362,0.0014591775920971932,16,10
0.0015386815490395708,0.0015224967768325826,0.0015179730742256124,0.0015204667485423148,131,10
0.0008975361137595465,0.00083398909817689,0.0008818135094850947,0.0008694002589307711,56,10
0.0016058119562867984,0.0015893039941060581,0.0015850171010591916,0.0015876125998692259,141,10
0.0016796321420067886,0.0016627807514905599,0.00165876783721341,0.0016614750898036445,44,10
0.0017611690615511114,0.0017439517911448064,0.0017402567439407327,0.0017430871875864264,29,10
0.0,0.0,0.0,0.0,120,10
0.0015207581842739196,0.0015028685035345726,0.001496250674128216,0.0014987497690713766,94,10
0.0015980985923076015,0.0015797698797133698,0.0015733492652194678,0.001575966885330033,5,10
0.001684838570429524,0.001666036753472197,0.001659859188458613,0.0016626093876284873,102,10
0.0012395959676885244,0.0012400877160282237,0.00121419358848553,0.001208145362271566,51,10
0.001104297544517855,0.0011070907406333496,0.0010775038523492837,0.0010714861553161193,78,10
0.0017827720310329802,0.0017634583767165632,0.0017575805321028912,0.0017604800128791648,42,10
0.0012714690781709878,0.001271257097370965,0.0012495100585915991,0.0012451009280832585,92,10
0.001125709514267834,0.0011342296783451982,0.0011055919613893166,0.0010977405150579215,66,10
0.0018941703449484489,0.0018743005126526865,0.0018687931123790476,0.0018718619255775407,31,10
0.0,0.0,0.0,0.0,35,10
0.0012149361742894967,0.0011709394416862667,0.0011603638934616798,0.0011685657056052026,90,10
0.00111559923834024,0.0010794698039628924,0.0010600791371152898,0.0010500138908590608,84,10
0.0014916976719910567,0.0014707694072910033,0.00146044521917996,0.0014629580961206812,77,10
0.001586635239571952,0.0015649949800513874,0.0015547166475587577,0.0015573781681278882,40,10
0.0016973343708034175,0.001674904052814341,0.0016647247027371387,0.0016675588140483526,125,10
0.0,0.0,0.0,0.0,99,10
0.0010177617043437143,0.0009937584996908902,0.0009756889767034496,0.0009775804924317781,33,10
0.0010640235999957066,0.0010389293405859285,0.0010200384756445108,0.0010220159693604958,19,10
0.0013151390858202796,0.0013067336224490654,0.001292909414557921,0.0012849398675428628,73,10
0.001060411501782931,0.0010383891177302065,0.0010013847165937255,0.00102887971279402,146,10
0.0013566789626992294,0.0013520150999519077,0.0013342929740677387,0.001331770868170221,91,10
0.0011172247799954883,0.0010908758076152263,0.001071040399426737,0.0010731167678285185,135,10
0.0011792928233285774,0.0011514800191494076,0.0011305426438393343,0.0011327343660412076,69,10
0.0012529986247866096,0.0012234475203462478,0.0012012015590792922,0.001203530263918784,128,10
0.0014507702125617621,0.0014537624750186988,0.0014241774954699953,0.0014192587936032001,114,10
0.0013424985265570837,0.0013108366289424009,0.001287001670442097,0.0012894967113415562,48,10
0.001454373403770172,0.0014200730146876027,0.0013942518096456066,0.001396954770620018,53,10
0.0015998107441471884,0.0015620803161563654,0.001533676990610161,0.0015366502476820143,28,10
0.001181097314245285,0.0011248983487923674,0.0011153448809026242,0.001104396883238574,54,10
0.0010368116458462657,0.0010609437558762383,0.0010268426073601882,0.0010256622899621082,108,10
0.0017997870871655844,0.0017573403556759085,0.0017253866144364347,0.001728731528642266,112,10
0.0020997516016931853,0.002050230414955237,0.0020129510501758346,0.0020168534500826577,17,10
0.00013073170731707376,0.0003236856368563667,0.00019262872628726403,0.00020498644986449883,119,10
0.002624689502116473,0.0025627880186940427,0.00251618881271979,0.0025210668126033134,103,10
0.003937034253174709,0.003844182028041071,0.0037742832190796743,0.0037816002189049736,58,10
