sepal_length,sepal_width,petal_length,petal_width,node,percentage
0.001084010840108401,0.001084010840108401,0.001084010840108401,0.001084010840108401,14,10
0.001110187238236018,0.001110187238236018,0.001110187238236018,0.001110187238236018,98,10
0.0,0.0,0.0,0.0,75,10
0.0010024883456179537,0.0010024883456179537,0.0010024883456179537,0.0010024883456179537,16,10
0.0010267541178424992,0.0010267541178424992,0.0010267541178424992,0.0010267541178424992,131,10
0.0010524301799934334,0.0010524301799934334,0.0010524301799934334,0.0010524301799934334,56,10
0.001079642570845812,0.001079642570845812,0.001079642570845812,0.001079642570845812,141,10
0.001108532595344519,0.001108532595344519,0.001108532595344519,0.001108532595344519,44,10
0.0011392591784423738,0.0011392591784423738,0.0011392591784423738,0.0011392591784423738,29,10
0.0011720016637109046,0.0011720016637109046,0.0011720016637109046,0.0011720016637109046,120,10
0.0012069631571165439,0.0012069631571165439,0.0012069631571165439,0.0012069631571165439,94,10
0.0,0.0,0.0,0.0,5,10
0.0010505223947618759,0.0010505223947618759,0.0010505223947618759,0.0010505223947618759,102,10
0.001081560365848909,0.001081560365848909,0.001081560365848909,0.001081560365848909,51,10
0.001114880964920805,0.001114880964920805,0.001114880964920805,0.001114880964920805,78,10
0.0011507464482111256,0.0011507464482111256,0.0011507464482111256,0.0011507464482111256,42,10
0.0011894603837334164,0.0011894603837334164,0.0011894603837334164,0.0011894603837334164,92,10
0.0,0.0,0.0,0.0,66,10
0.0009700856938512133,0.0009700856938512133,0.0009700856938512133,0.0009700856938512133,31,10
0.0010005419985488605,0.0010005419985488605,0.0010005419985488605,0.0010005419985488605,35,10
0.0010335927342164045,0.0010335927342164045,0.0010335927342164045,0.0010335927342164045,90,10
0.0010695950033425498,0.0010695950033425498,0.0010695950033425498,0.0010695950033425498,84,10
0.0011089746677632514,0.0011089746677632514,0.0011089746677632514,0.0011089746677632514,77,10
0.001152243643004855,0.001152243643004855,0.001152243643004855,0.001152243643004855,40,10
0.0012000226526259795,0.0012000226526259795,0.0012000226526259795,0.0012000226526259795,125,10
0.0012530715513129342,0.0012530715513129342,0.0012530715513129342,0.0012530715513129342,99,10
0.0013123303044902009,0.0013123303044902009,0.0013123303044902009,0.0013123303044902009,33,10
0.0013789752308965078,0.0013789752308965078,0.0013789752308965078,0.0013789752308965078,19,10
0.0014544975231791206,0.0014544975231791206,0.0014544975231791206,0.0014544975231791206,73,10
0.001540814976321702,0.001540814976321702,0.001540814976321702,0.001540814976321702,146,10
0.0016404343925549118,0.0016404343925549118,0.0016404343925549118,0.0016404343925549118,91,10
0.0017566933925768774,0.0017566933925768774,0.0017566933925768774,0.0017566933925768774,135,10
0.0,0.0,0.0,0.0,69,10
0.001026870348187662,0.001026870348187662,0.001026870348187662,0.001026870348187662,128,10
0.0010735462731052796,0.0010735462731052796,0.0010735462731052796,0.0010735462731052796,114,10
0.0011272235867605465,0.0011272235867605465,0.0011272235867605465,0.0011272235867605465,48,10
0.0011898471193583504,0.0011898471193583504,0.0011898471193583504,0.0011898471193583504,53,10
0.0012642125643182456,0.0012642125643182456,0.0012642125643182456,0.0012642125643182456,28,10
0.0013545134617695478,0.0013545134617695478,0.0013545134617695478,0.0013545134617695478,54,10
0.0014673895835836809,0.0014673895835836809,0.0014673895835836809,0.0014673895835836809,108,10
0.0016141285419420462,0.0016141285419420462,0.0016141285419420462,0.0016141285419420462,112,10
0.001815894609684808,0.001815894609684808,0.001815894609684808,0.001815894609684808,17,10
0.002118543711298944,0.002118543711298944,0.002118543711298944,0.002118543711298944,119,10
0.002648179639123671,0.002648179639123671,0.002648179639123671,0.002648179639123671,103,10
0.003972269458685507,0.003972269458685507,0.003972269458685507,0.003972269458685507,58,10
