id,radius_mean,texture_mean,perimeter_mean,area_mean,smoothness_mean,compactness_mean,concavity_mean,concave points_mean,symmetry_mean,fractal_dimension_mean,radius_se,texture_se,perimeter_se,area_se,smoothness_se,compactness_se,concavity_se,concave points_se,symmetry_se,fractal_dimension_se,radius_worst,texture_worst,perimeter_worst,area_worst,smoothness_worst,compactness_worst,concavity_worst,concave points_worst,symmetry_worst,fractal_dimension_worst,node,percentage
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421,20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,20
0.0,2.7371962985524257e-07,0.0,4.105772709984773e-07,0.0,0.0,4.790056499978373e-07,2.3074209251621214e-06,2.9891400198541712e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4686437604148813e-06,4.56203904349098e-08,1.5053745727621974e-06,4.562039571505309e-08,0.0,2.737204806473734e-07,1.1354264818152423e-06,4.464061491013778e-06,0.0,2.2810218978099693e-08,292,20
0.0,1.5867970405417087e-08,0.0,3.173591124312568e-08,0.0,0.0,0.0,1.2694289832244228e-07,1.9041362856209096e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.347170085287668e-08,0.0,6.347170223439004e-08,0.0,0.0,2.3801967629321395e-08,7.933960789282189e-08,2.0648476370032636e-07,0.0,7.9339892097738e-09,186,20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414,20
0.0,1.7803088747541115e-08,0.0,3.5606144321555625e-08,0.0,0.0,1.780308701424695e-08,2.0473322130393452e-07,2.7021044010050897e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.90150762869301e-08,0.0,1.0681795492260802e-07,0.0,0.0,3.560616478301314e-08,1.2462089693076542e-07,3.3628983355037377e-07,0.0,8.901548869502315e-09,132,20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2165445216229723e-08,1.2165445216229723e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.08272506082658e-09,0.0,6.08272506082658e-09,0.0,0.0,1.824817518247974e-08,3.04136058394127e-08,6.08272506082658e-09,0.0,6.08272506082658e-09,161,20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197,20
0.0,6.8217477317681275e-09,0.0,7.435691326326155e-07,0.0,0.0,0.0,7.913163786242987e-07,8.186004040070633e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.572112332866701e-07,0.0,7.640322739249905e-07,0.0,0.0,2.046524319530438e-08,6.139555123952946e-08,1.56444619284857e-06,0.0,6.8217477317681275e-09,245,20
0.0,1.1229583264426254e-07,0.0,1.8248005361742602e-07,0.0,0.0,2.3862706005456035e-07,8.192910795379507e-07,1.1221920068618552e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.649566465274647e-07,7.299270072991896e-07,3.930297305076284e-07,2.807408967080191e-08,0.0,1.6844337270607586e-07,1.3297564561904037e-06,2.6275625398553324e-06,0.0,1.403705783267673e-08,453,20
