age,shape,margin,density,node,percentage
0.0,0.0,0.0,0.0,241,50
0.0,0.0,0.0,0.0,852,50
7.840331669573843e-06,2.7630558389626964e-05,8.808663780230675e-06,5.930950841754982e-06,436,50
0.00023715300870743078,0.0011113706364775395,0.0017177383981752303,0.00021609322191475146,386,50
0.0,0.0,0.0,0.0,345,50
0.0,0.0,0.0,0.0,311,50
0.0,0.0,0.0,0.0,875,50
7.639540753382674e-05,0.0008380911568578573,0.0004968084978897308,8.584781965926134e-05,267,50
3.695355059110474e-05,0.00011794042707115917,0.0017596438026895418,0.0006015083869987952,35,50
0.0,0.0,0.0,0.0,78,50
0.0,0.0,0.0,0.0,604,50
0.0,0.0,0.0,0.0,347,50
0.0,0.0,0.0,0.0,191,50
0.0,0.0,0.0,0.0,104,50
0.0049644787798923205,0.005387802229088014,0.005504803854056018,0.0049741639889335975,711,50
0.0,0.0,0.0,0.0,754,50
0.0037916512418285616,0.004546217787502719,0.004559501574804846,0.004234707204322277,101,50
0.0,0.0,0.0,0.0,790,50
0.00020023852566258016,0.0003003650494884097,0.0005064534744572704,0.00010503717281093036,926,50
0.0,0.0,0.0,0.0,94,50
0.0,0.0,0.0,0.0,228,50
2.833193412808843e-05,0.0020350094609598362,3.707989437934506e-05,2.02708527129478e-05,388,50
0.005132662844207348,0.005568972809101335,0.005689274832337988,0.005142493570509742,828,50
0.0,0.0,0.0,0.0,90,50
0.0,0.0,0.0,0.0,672,50
0.0,0.0,0.0,0.0,681,50
0.0,0.0,0.0,0.0,248,50
0.0,0.0,0.0,0.0,370,50
2.812937847431208e-08,3.0806891869290363e-07,1.0266914185172591e-06,1.4064697608999856e-08,34,50
0.0025967171641701446,0.0026839456779182676,0.004175295020612787,0.002188825134849049,809,50
0.0,0.0,0.0,0.0,366,50
0.0,0.0,0.0,0.0,238,50
2.250706535751346e-06,0.0001080867684675158,7.436632442509348e-05,1.4458670940170582e-05,41,50
0.0,0.0,0.0,0.0,371,50
0.0,0.0,0.0,0.0,17,50
0.0026231610534306915,0.004223350308677362,0.004647686318051575,0.0021792370951989022,435,50
0.004899447951180016,0.005265264806322943,0.005250781780453696,0.004818752995977508,306,50
0.0,0.0,0.0,0.0,552,50
0.0009046706365984717,0.0015301324133221315,0.002944251543791759,0.0007117965477793852,233,50
0.0,0.0,0.0,0.0,504,50
0.0,0.0,0.0,0.0,937,50
0.0,0.0,0.0,0.0,535,50
4.681744341234014e-06,0.0001334419355291957,9.703203933337776e-05,1.8184311945409212e-05,207,50
0.0,0.0,0.0,0.0,339,50
1.005258453472992e-06,5.190298871136028e-05,1.9901397425846743e-05,5.043667395224604e-06,189,50
0.0,0.0,0.0,0.0,676,50
0.0,0.0,0.0,0.0,298,50
0.0,0.0,0.0,0.0,709,50
0.0,0.0,0.0,0.0,309,50
7.705113747184309e-05,0.000154225231545259,0.00010779737346654469,4.975096285137836e-05,917,50
0.0,0.0,0.0,0.0,119,50
0.0,0.0,0.0,0.0,159,50
0.0,0.0,0.0,0.0,945,50
0.0,0.0,0.0,0.0,433,50
0.0,0.0,0.0,0.0,429,50
0.0,0.0,0.0,0.0,919,50
0.0,0.0,0.0,0.0,915,50
0.0,0.0,0.0,0.0,858,50
0.0,0.0,0.0,0.0,737,50
0.0,0.0,0.0,0.0,900,50
3.312383515067738e-05,0.0001276269330517282,0.001839032692025605,3.992164957833751e-05,452,50
0.0,0.0,0.0,0.0,625,50
0.0,0.0,0.0,0.0,6,50
0.0,0.0,0.0,0.0,486,50
0.0,0.0,0.0,0.0,472,50
0.0,0.0,0.0,0.0,865,50
0.00016280162992509214,0.0007085721673000322,0.002641606461375732,0.00012138494408863184,541,50
0.0,0.0,0.0,0.0,389,50
5.771996654143281e-08,1.7157617100475871e-06,2.005650550116181e-06,2.020199615199553e-07,304,50
0.0,0.0,0.0,0.0,612,50
0.0,0.0,0.0,0.0,194,50
