age,shape,margin,density,node
4.9950049950044455e-09,1.7962323818400312e-05,0.00010141983042131052,1.4985014985013333e-08,241
0.0,0.0,0.0,0.0,852
0.0,1.0484995085320355e-07,1.3626128076122954e-06,0.0,436
0.0,3.266205588301607e-08,2.9919923289983258e-06,0.0,386
0.0,0.0,0.0,0.0,345
0.0,1.1608307815276015e-07,1.525967982660302e-06,0.0,311
0.0,6.462906633803625e-07,8.588203698986986e-06,0.0,875
0.0,2.9570589460821656e-08,3.4340659340655557e-09,0.0,267
0.0,3.136460776929937e-08,3.2078796207529094e-05,0.0,35
0.0,1.0325449500023528e-07,1.3124991959543754e-06,0.0,78
0.0,0.0,0.0,0.0,604
0.0,0.0,0.0,0.0,347
4.548258788002396e-06,9.590916448126474e-05,0.00014900544950818725,1.121547201845364e-05,191
5.9790721801095715e-05,0.0008255647028992099,0.0008439716815569201,0.00036119208119606244,104
0.0031102450886028397,0.0037429892550681857,0.004393790491087898,0.003173010313639528,711
0.0002448039646581727,0.0011648657615328322,0.001416859715883325,0.00011760733024752113,754
1.4653912013978793e-05,0.00018668041934148614,0.001270660246187699,0.0002207334041836805,101
0.0,0.0,0.0,0.0,790
1.4999553411062647e-05,2.1641237126282753e-05,4.284809303731293e-05,1.611324415480426e-06,926
0.00016959686502750407,0.0011688759814966945,0.0016817941903713909,0.00011414225436541978,94
8.379379475212494e-05,0.0003045933969559322,0.0008399472050807399,3.005047036611046e-05,228
6.147203933563938e-06,0.0007096649484882965,1.5834585408354267e-05,1.0513957602087924e-06,388
0.0019313683623689943,0.0023237951339662526,0.0027274624036128063,0.0019696583972952982,828
3.195722699320492e-07,1.8414634238810915e-05,1.4801470843327395e-05,5.341144948345e-07,90
0.0,2.9759792201860918e-08,3.455663833021943e-09,0.0,672
0.0,0.0,0.0,0.0,681
0.0006428608822691615,0.0010910042176311692,0.0017161922788775622,0.0002890708395338214,248
0.0,0.0,0.0,0.0,370
0.0,5.744680718273711e-07,0.0,0.0,34
0.0,2.9951415164089735e-08,3.47753512310436e-09,0.0,809
0.0,0.0,0.0,0.0,366
0.0,0.0,0.0,0.0,238
0.0,7.72515247086026e-06,3.0127636393716727e-06,0.0,41
0.0014374722367201346,0.001666338769527942,0.0019128846486200718,0.001398931588875193,371
0.0,0.0,0.0,0.0,17
5.4106060616100464e-05,0.00035392789176276614,0.0007199925572725394,6.949874390033595e-05,435
0.0001523979178645841,0.00046429629102034335,0.0010953755371238085,9.721205787790619e-05,306
0.0,0.0,0.0,0.0,552
0.0,8.75351512131096e-08,3.585269169511817e-06,0.0,233
0.0,0.0,0.0,0.0,504
0.0,0.0,0.0,0.0,937
0.00019023709899268723,0.0006708461864327544,0.0012189174594662987,0.0001917685591580356,535
0.0,2.389071542740605e-08,0.0,0.0,207
5.817049457091968e-06,9.321238945787894e-05,0.0003336669815292162,0.00012523136262830922,339
5.087505087504528e-09,6.1068667211705905e-06,5.370484738474965e-06,1.5262515262513583e-08,189
0.0,3.179302555173277e-08,2.3092218207639923e-07,0.0,676
2.5811099079580444e-06,0.00046465824510694495,0.000882660502057899,4.053234808299006e-06,298
0.001319193897834294,0.001581167339500607,0.001850603433520663,0.0012806590965619919,709
0.0,0.0,0.0,0.0,309
0.0,2.471837122166164e-08,0.0,0.0,917
0.0014068461581233566,0.002033489746918183,0.0026081269863405996,0.0012908125305363363,119
0.0,1.0171394955087395e-07,0.0001166617971126713,0.0,159
0.0,0.0,0.0,0.0,945
0.0,0.0,0.0,0.0,433
7.697435555098869e-06,2.3727389864345764e-05,5.420792698003531e-06,1.5405155592069784e-08,429
0.0,0.0,0.0,0.0,919
0.0,0.0,0.0,0.0,915
0.0,0.0,0.0,0.0,858
0.0,0.0,0.0,0.0,737
0.0,3.014550489155347e-08,3.499685028347063e-09,0.0,900
6.45413502278859e-06,3.0062023539991914e-05,0.000880456062837225,3.5467176130668077e-06,452
0.0,0.0,0.0,0.0,625
2.7312310274168627e-05,0.0010004695183855848,0.001299385144993173,2.8780857833030215e-05,6
0.0,0.0,0.0,0.0,486
0.0,0.0,0.0,0.0,472
0.0,0.0,0.0,0.0,865
0.000850667339194077,0.0013754669526350686,0.0017780026499440128,0.0005762682204478096,541
0.0,0.0004236465862218504,1.6211997533789605e-06,0.0,389
5.494505494504889e-07,6.189517012462107e-06,8.48147369208325e-05,1.4587182728774044e-08,304
2.987493746963506e-05,0.00023391009958891975,0.0005146840957646351,4.088193693314187e-05,612
0.0,0.0,0.0,0.0,194
0.00026184626843680483,0.0007453091700133129,0.0013647864123234378,0.00026011843253973747,509
0.0013611561202878251,0.001618456296406827,0.0019890992291644507,0.0012187467001044557,891
0.0,0.0,0.0,0.0,516
0.0,0.0,0.0,0.0,483
8.391899713656872e-06,0.00012998207715775187,0.0002004773398558721,1.372497654698653e-05,467
0.0011880751386885028,0.0009068969829607949,0.0014830281442368685,0.000570824697064414,923
0.0,0.0,0.0,0.0,148
0.0,0.00010899411654057391,6.327461671932119e-05,1.648351648351467e-06,943
9.888269273751586e-05,0.0004970063284529057,0.0015520527620583881,0.0005287043807213802,59
0.0,0.0,0.0,0.0,833
0.0,5.546148045859924e-06,2.6574522408833465e-06,1.4333492594360582e-08,684
0.001373518738517101,0.001614984426136835,0.0019706775060125505,0.0013101270731264508,683
0.0014773675298630413,0.0016905362961932167,0.0019347715255288822,0.0014239970487261075,372
0.0,0.0,0.0,0.0,154
0.0,0.0,0.0,0.0,839
0.0020388869979053046,0.0024533736684298397,0.002878988092702408,0.0020790838638117025,3
4.9058084772365086e-09,5.700296230101512e-06,3.5438748672189623e-06,1.4717425431709526e-08,677
0.0,0.0,0.0,0.0,953
0.0,7.65571110354939e-06,4.063393020225248e-05,0.0,736
0.0,0.0,0.0,0.0,667
0.0021667222094934125,0.0026074113424847164,0.00305892484849631,0.0022090266052999345,720
0.0,2.8837089712123092e-08,0.0,0.0,890
