sepal_length,sepal_width,petal_length,petal_width,node,percentage
0.007655229288613209,0.007726263372783948,0.007795999524861904,0.007785719335534777,14,40
0.0,0.0,0.0,0.0,98,40
0.007803659621704978,0.00787636777695732,0.007947710847000009,0.007937190639294397,75,40
0.0,0.0,0.0,0.0,16,40
0.007960195512075264,0.008034701753714563,0.00810776747798866,0.008096989675237158,131,40
0.0022910118080808057,0.0020977777777777774,0.003279161542087542,0.003319902585858586,56,40
0.0,0.0,0.0,0.0,141,40
0.008125423825415213,0.008201868242496668,0.008276786827811959,0.008265731607933277,44,40
0.0,0.0,0.0,0.0,29,40
0.008299931974539432,0.008378473797536028,0.00845539255551465,0.008444037430340941,120,40
0.008703311109155126,0.008784244020704988,0.008863676750702607,0.008851965303303398,94,40
0.009153259664692326,0.009236812282775902,0.009319008499880503,0.009306906096872866,5,40
0.009658372794833305,0.00974481226456384,0.009830064386874383,0.009817530505675924,102,40
0.0,0.0,0.0,0.0,51,40
0.0,0.0,0.0,0.0,78,40
0.0,0.0,0.0,0.0,42,40
0.0,0.0,0.0,0.0,92,40
0.009099475347931076,0.009188542058634489,0.009275410723944721,0.009262556031451723,66,40
0.009678038970750931,0.009770647630013026,0.00986121858793712,0.009847837409167493,31,40
0.0,0.0,0.0,0.0,35,40
0.00996631838472566,0.010062727239055685,0.010156890316871777,0.01014296772196159,90,40
0.0,0.0,0.0,0.0,84,40
0.0,0.0,0.0,0.0,77,40
0.010273235563837819,0.010373952302981996,0.010472164669274885,0.010457629729608137,40,40
0.011125508445778687,0.011231433310766353,0.011335091341943871,0.011319782141164709,125,40
0.0,0.0,0.0,0.0,99,40
0.011573110963448329,0.011684833800489094,0.011793981230090893,0.011777845440201481,33,40
0.012779688154153805,0.012898639555131645,0.013015372304888653,0.01299816021709035,19,40
0.014308543897437707,0.014436305264948629,0.014562349455879399,0.014543821492790751,73,40
0.01630944995416571,0.016448269489535552,0.016586094934294724,0.016565909521194522,146,40
0.002134689887787309,0.0022479765252766152,0.003170249392178069,0.003235756503282608,91,40
0.0,0.0,0.0,0.0,135,40
0.0,0.0,0.0,0.0,69,40
0.016753635983822145,0.01690573363730173,0.01705546640358342,0.017033428975958817,128,40
0.020311669383517764,0.020483524055203227,0.020654286444292087,0.020629288932796183,114,40
0.0,0.0,0.0,0.0,48,40
0.023845073157730268,0.024045645642529118,0.02424510248610525,0.024215917937621276,53,40
0.034139013598229496,0.034391933713327945,0.03464810091474261,0.034611012265779194,28,40
0.0021551038197510737,0.0023941154461221375,0.0030525697923641354,0.0031197754031220565,54,40
0.0025397205418453295,0.0028675251839608315,0.004293711827082917,0.0036631202500589663,108,40
0.0,0.0,0.0,0.0,112,40
0.0,0.0,0.0,0.0,17,40
0.002042853138077782,0.004485958124191046,0.003255976153946304,0.003308448478714044,119,40
0.0,0.0,0.0,0.0,103,40
0.020676721332796355,0.02104056660538077,0.021376573465753293,0.021325224734099646,58,40
