sepal_length,sepal_width,petal_length,petal_width,node,percentage
0.0,0.0,0.0,0.0,14,30
0.004749598661290322,0.0044662617408968725,0.004675360882535028,0.004606438307754968,98,30
0.00457740061717672,0.004624906155419783,0.004608379793374287,0.00462144453147665,75,30
0.012555957986494674,0.012470760499586377,0.012518709146453824,0.01251857133684019,16,30
0.004839724587629641,0.005059550164948015,0.004793021421422846,0.004782529800003208,131,30
0.004912626549098589,0.004981511204783727,0.00485271231468613,0.004845968887429218,56,30
0.005244036648244098,0.005286251233784647,0.005184016587534392,0.005052803489085007,141,30
0.0,0.0,0.0,0.0,44,30
0.0,0.0,0.0,0.0,29,30
0.005396573615691765,0.005447751949194186,0.00530221574160958,0.005210834554027009,120,30
0.005604115070309406,0.005397457621138075,0.005459208023669919,0.005466869845754261,94,30
0.0,0.0,0.0,0.0,5,30
0.005765698442176188,0.005799001228533858,0.005681723853250727,0.00562674411622356,102,30
0.0058564851780420965,0.005936857470274979,0.005851223055799425,0.005831005138897123,51,30
0.006158325216218969,0.006053490587233245,0.006061730471119926,0.006043746940942495,78,30
0.0,0.0,0.0,0.0,42,30
0.006432644522446214,0.006226646418315614,0.006347891374969147,0.006355598080561391,92,30
0.006713479349087321,0.006545905902181279,0.006551323940450344,0.006534917678102256,66,30
0.009825649208673015,0.009752452804358741,0.009705168942468374,0.009697377572062828,31,30
0.011503253350535425,0.01141922204860495,0.011385471413122301,0.011378307326452779,35,30
0.0,0.0,0.0,0.0,90,30
0.006877948785908403,0.006685137759193497,0.0066866210737792555,0.006669572458592139,84,30
0.007335541731655985,0.007346562255275295,0.007277481122629947,0.007233146944434929,77,30
0.0,0.0,0.0,0.0,40,30
0.0,0.0,0.0,0.0,125,30
0.007313654422107005,0.007092904285267005,0.007170653700972697,0.007152294856451658,99,30
0.0,0.0,0.0,0.0,33,30
0.007321116318337234,0.007255005253557947,0.007069373530533371,0.0070499417025320504,19,30
0.0,0.0,0.0,0.0,73,30
0.007680245292171914,0.007485727217280885,0.007535849542119492,0.007465950833711316,146,30
0.0,0.0,0.0,0.0,91,30
0.007559735211125086,0.007732339127260268,0.007482556764263567,0.007440743390772612,135,30
0.008300090714648229,0.008005027535935114,0.00813195398664233,0.008141354751485813,69,30
0.00881702657872174,0.008738296306212744,0.00858041778669199,0.008526444235766761,128,30
0.0,0.0,0.0,0.0,114,30
0.008541302371393437,0.008464172795817612,0.008247602452288935,0.008224931986287397,48,30
0.009129795529539117,0.008739776648481239,0.008898881311085214,0.008876482993406685,53,30
0.010676627964241799,0.010580215994772019,0.010309503065361172,0.01028116498285924,28,30
0.009689529336539625,0.009616339105345553,0.009558895541094771,0.009557738271466448,54,30
0.010771282453147048,0.010616875808828408,0.010442143185834335,0.010518326121585306,108,30
0.011841574040159415,0.011946383589026645,0.01155235353423359,0.011430021243568643,112,30
0.01601494194636273,0.015870323992158042,0.015464254598041752,0.015421747474288872,17,30
3.840277777777702e-05,0.0001809027777777762,6.833333333333275e-05,9.333333333333347e-05,119,30
0.013442298839355077,0.01336174450408311,0.012855994248397683,0.012939912763397426,103,30
0.0,0.0,0.0,0.0,58,30
