sepal_length,sepal_width,petal_length,petal_width,node,percentage
0.004486742424242424,0.004467020202020201,0.004476919191919192,0.004475858585858585,14,30
0.0046092439303007555,0.00458929237991316,0.004599306474345859,0.004598233535656641,98,30
0.004739720720561632,0.0047195316517170405,0.004729664961559653,0.004728579249790801,75,30
0.0048789770274037195,0.004858541750402486,0.0048687986371943985,0.004867699685038123,16,30
0.0,0.0,0.0,0.0,131,30
0.004878117649722964,0.004857161666144295,0.004867679906301579,0.004866552951999012,56,30
0.005031896318942372,0.0050106645987376686,0.0050213212367917585,0.005020179454143105,141,30
0.0,0.0,0.0,0.0,44,30
0.0050284289731732275,0.005006611467895309,0.005017562123553367,0.005016388839018575,29,30
0.005199406597015389,0.0051772774130906425,0.005188384506686674,0.005187194460944242,120,30
0.0053843060321077316,0.005361851419007621,0.005373121852215359,0.005371914305800245,94,30
0.0055848963061363565,0.005562101471625638,0.0055735426689728865,0.005572316826399967,5,30
0.0,0.0,0.0,0.0,102,30
0.0,0.0,0.0,0.0,51,30
0.005370948997675111,0.005347032517136616,0.005359036691747487,0.005357750530182035,78,30
0.0,0.0,0.0,0.0,42,30
0.005342189755169315,0.005317426478060029,0.00532985567732615,0.005328523977404779,92,30
0.0,0.0,0.0,0.0,66,30
0.005292462319088968,0.005266755427075588,0.005279658246114316,0.005278275801217307,31,30
0.005523431159508159,0.0054972101296545135,0.005510371005074014,0.005508960911279066,35,30
0.005779696628324851,0.00575292932701592,0.005766364387339993,0.005764924916590985,90,30
0.006065675020319534,0.006038325821156062,0.00605205294800892,0.0060505821844175425,84,30
0.006386866376690486,0.0063588956048187505,0.006372934711827354,0.006371430521790719,77,30
0.006750206507706986,0.006721569765076402,0.0067359431365375914,0.006734403132452466,40,30
0.007164565235494372,0.007135212574298021,0.007149945280045741,0.007148366775858485,125,30
0.0,0.0,0.0,0.0,99,30
0.007168873761050642,0.007137911853078174,0.007153452272956801,0.007151787227969806,33,30
0.0,0.0,0.0,0.0,19,30
0.007119357941114426,0.007086489371529683,0.0071029867841765695,0.007101219204250119,73,30
0.007667968097473835,0.007634003908902936,0.007651051235304716,0.007649224736047382,146,30
0.0,0.0,0.0,0.0,91,30
0.0,0.0,0.0,0.0,135,30
0.0,0.0,0.0,0.0,69,30
0.00572484866022227,0.005685066757751475,0.005705034114689443,0.005702894755017514,128,30
0.006167713012680941,0.006125942015086608,0.00614690773987147,0.006144661412215945,114,30
0.006717017657100959,0.0066729260485291625,0.006695056535802074,0.006692685412165687,48,30
0.00741913527842401,0.007372287944316477,0.007395801587043945,0.0073932822681802846,53,30
0.00835236496653178,0.008302171394273708,0.00832736458291028,0.008324665312699216,28,30
0.009660054085543622,0.009605677715597373,0.009632970336620326,0.009630046127225012,54,30
0.011635296357569387,0.011575482350628517,0.011605504233753769,0.011602287603418915,108,30
0.014982027521274456,0.014914736763465976,0.014948511381981881,0.014944892672855176,112,30
0.021894443385840956,0.021815937501731067,0.021855341223332957,0.021851119396018463,17,30
0.0,0.0,0.0,0.0,119,30
0.043925846523629,0.043827714168491634,0.043876968820494,0.043871691536350885,103,30
0.0,0.0,0.0,0.0,58,30
