node,id,radius_mean,texture_mean,perimeter_mean,area_mean,smoothness_mean,compactness_mean,concavity_mean,concave points_mean,symmetry_mean,fractal_dimension_mean,radius_se,texture_se,perimeter_se,area_se,smoothness_se,compactness_se,concavity_se,concave points_se,symmetry_se,fractal_dimension_se,radius_worst,texture_worst,perimeter_worst,area_worst,smoothness_worst,compactness_worst,concavity_worst,concave points_worst,symmetry_worst,fractal_dimension_worst
421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,4.08947777368785e-09,0.0,4.08947777368785e-09,0.0,0.0,8.17895270746058e-09,8.17895270746058e-09,2.044736904699665e-08,8.17895270746058e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4536866642131638e-08,0.0,0.0,0.0,4.08947777368785e-09,0.0,4.08947777368785e-09,0.0,8.17895270746058e-09,4.08947777368785e-09,8.1789555473757e-09,1.6357902575006035e-08,0.0,0.0
292,5.600662794673453e-05,0.00016569688375522396,0.0001152545321326568,0.0001763732506034012,0.00015151838716850308,7.934627340898872e-05,0.0002003711971909874,0.0002466620465853771,0.0002799754675171813,0.00010500365827065838,0.00010699272402459212,0.0001076273370866267,7.843479435243798e-05,0.00010970201568006626,8.395831944527604e-05,7.059354411529612e-05,9.224125089833604e-05,6.830108786948803e-05,8.192525583904956e-05,0.00010090050195369858,6.314879868888369e-05,0.00020523078614141028,0.00015174969006817324,0.00020886262602255466,0.00015069117828752656,8.112025170040112e-05,0.00014460094618597591,0.00017424634687361918,0.00026308333816942703,9.774842749907583e-05,9.337011131937109e-05
186,4.017666794666844e-08,1.8302521194006658e-07,1.1160130574038888e-07,1.9641709348533804e-07,1.5624132153091679e-07,1.1606538652015285e-07,2.410566868961319e-07,4.3746732903299634e-07,5.222793281964838e-07,1.1160128704914419e-07,1.3838532481927633e-07,7.14250239064162e-08,7.588908580106341e-08,6.696098371033854e-08,5.356883739055715e-08,5.356883739055715e-08,1.0713726334253784e-07,7.588908259053252e-08,6.249693733752008e-08,9.374526044948223e-08,7.142504603961041e-08,2.053450390956597e-07,1.5624137376047354e-07,2.008810617457362e-07,1.3838533312637493e-07,2.0534564461686193e-07,1.740972372336831e-07,2.767680668399323e-07,4.776428565567716e-07,8.928118550904643e-08,1.1160128121534049e-07
414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,8.475291467816422e-09,5.085167888358505e-08,2.1188224096540418e-08,5.508929565517548e-08,3.390114148193365e-08,8.475291467816422e-09,4.237638436410704e-08,5.085167578836226e-08,1.1017821531910446e-07,1.6950570890381936e-08,3.390113233592767e-08,1.2712935677391086e-08,8.475291467816422e-09,8.475291467816422e-09,8.475291467816422e-09,8.475291467816422e-09,2.1188217999206232e-08,3.3901138563936786e-08,8.475291467816422e-09,8.475291467816422e-09,1.2712935677391086e-08,5.508931701760608e-08,3.390115672526912e-08,4.6614040749564015e-08,2.9663500321021377e-08,2.1188209002628887e-08,3.813876439441719e-08,4.661402237048284e-08,7.203971452026492e-08,8.475291467816422e-09,2.9663494223687195e-08
161,3.954784889797918e-06,2.141069893040838e-05,8.319432111391729e-06,2.2873932241636544e-05,1.6983943440386882e-05,8.279360083125751e-06,1.86123799260225e-05,2.654257939419353e-05,3.870451456840392e-05,9.080940854382585e-06,1.1696922989382496e-05,1.1130798160718308e-05,7.3402404311927214e-06,1.0300635798910566e-05,7.655260556581958e-06,5.839600710651511e-06,8.45112528241693e-06,5.8625179038252875e-06,1.6719545342802715e-05,8.42251574082359e-06,5.9197984709416315e-06,2.2300295066536976e-05,1.0145792023629548e-05,2.188845482925485e-05,1.439202369164731e-05,1.0683959017232178e-05,1.41288042464887e-05,1.7897877999461016e-05,4.9355603328451256e-05,9.945491067741011e-06,9.607662852412017e-06
197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,0.0006587712316771948,0.0013354622634326211,0.0008037190988682414,0.0013723139711706123,0.001204134337523052,0.0007649098049606342,0.0013267717805423096,0.001430657907047195,0.001460573032394286,0.0008827382771553458,0.0008631571682860324,0.0008146176050587284,0.001022765233355414,0.0008165354551021588,0.000792206592200962,0.0010618386332395845,0.0008923425292569709,0.0007481035437079973,0.000783985287246248,0.0009782040166859333,0.0006954093113127329,0.0013802165727475329,0.0007967562300324034,0.0013830152481600442,0.0011495850620009682,0.000798844881756551,0.0012027448431067118,0.0013337390304406695,0.001670803784498693,0.0008795369619961761,0.0008678886945128266
453,4.201093449910142e-06,1.1545358771327665e-05,1.6022756279553946e-05,1.2756876547713887e-05,1.1498666736827279e-05,5.5436014485882355e-06,1.8874834505585087e-05,2.8835601215989266e-05,1.2675212969533156e-05,1.1999385352030565e-05,9.08490282647814e-06,7.817260851850684e-06,6.610328503902765e-06,7.821933026301683e-06,6.596309234943888e-06,4.823274297471559e-06,1.1405281798171091e-05,6.020877388881133e-06,6.657059468903317e-06,7.237159619259206e-06,4.257193405194104e-06,1.630268534464848e-05,2.6623165064923897e-05,1.6920083758810537e-05,1.264483827202567e-05,8.036848526021455e-06,2.4521711598379808e-05,3.29639512898535e-05,3.512867210339721e-05,1.1377266178041737e-05,9.655654922032845e-06
