node,id,radius_mean,texture_mean,perimeter_mean,area_mean,smoothness_mean,compactness_mean,concavity_mean,concave points_mean,symmetry_mean,fractal_dimension_mean,radius_se,texture_se,perimeter_se,area_se,smoothness_se,compactness_se,concavity_se,concave points_se,symmetry_se,fractal_dimension_se,radius_worst,texture_worst,perimeter_worst,area_worst,smoothness_worst,compactness_worst,concavity_worst,concave points_worst,symmetry_worst,fractal_dimension_worst
421,5.3992192110274534e-06,1.3237174224919047e-05,2.3357592292843938e-05,1.266440662082726e-05,1.3221188468670401e-05,8.479116649324694e-06,1.4718342787651481e-05,1.2014565848887154e-05,1.4381354198547445e-05,1.0950116370729102e-05,2.439544295604937e-05,7.922351316268103e-06,9.688637860571866e-06,8.47511709913148e-06,6.640799593470445e-06,1.0145448021634057e-05,1.669380021183812e-05,6.600790253785097e-06,7.870350103497545e-06,1.3173231303749387e-05,7.213572509257998e-06,1.5680071175531793e-05,3.244736713969914e-05,1.2776316703547435e-05,1.3237174238003622e-05,1.2868244867314831e-05,1.1738745040192907e-05,1.3044097473028403e-05,3.0420538425670768e-05,1.2904214505834626e-05,1.0966108463590588e-05
47,0.00041337097841284687,0.0005563013393127657,0.0005435556459691334,0.0005648254032348278,0.0005135965564739122,0.0007302193752446785,0.0006691782371977411,0.000751460678833504,0.0008483342004609322,0.0007095402581893655,0.0005990993633116006,0.00045694432137098596,0.0005136271080228131,0.0004513764091672247,0.00043358369623371133,0.0004978147002779509,0.0005332533189941062,0.0004716720284423841,0.0005242105589241103,0.0005102454522681891,0.0004656044883359442,0.0005947489554001251,0.0006299069324340322,0.0005916156683238661,0.0005200781842862641,0.0009755493503772836,0.0007844680720950867,0.0008858544388789415,0.0013834545655233455,0.0007420313603625607,0.0007654881534307867
292,0.0001394255010965072,0.0002925483860267379,0.000244454496738998,0.00030394278237643255,0.0002711692687826807,0.0001786695738119667,0.0003085223636901049,0.00033857444398933305,0.000389285025019039,0.00022686894888283553,0.00021634057530089886,0.0002150378683094379,0.0001849658540987928,0.00021752001648147064,0.00018179675362784152,0.0001782219937247539,0.000191375512149414,0.0001548597859903686,0.00017609157287119215,0.0002187415282253448,0.00015548789546829828,0.0003471745297269436,0.00031834384165128194,0.00034851412467501425,0.0002749274384059339,0.0001866529657728193,0.00026273978917830203,0.00028241633802878906,0.00037844526619762117,0.0002046491429137045,0.00020210461689778837
186,0.001141381647066042,0.0017462899035014874,0.0013408307785702973,0.0017350229328527284,0.0016251083519866368,0.0013226820894810909,0.0013681687537876232,0.0014856063483379097,0.0016074873541745735,0.001330867857590982,0.0014779458628058177,0.0012061475493059305,0.001364518631555902,0.0011990828495709281,0.0011841370851240034,0.0014014245081472782,0.0012866050840009342,0.0012036484426998478,0.0012678908792308444,0.0013737107749254788,0.0012567341767357656,0.0017390840530449726,0.001422296254300643,0.0017006600397847739,0.0015501843206461976,0.001390782322785216,0.0013830887902411004,0.001563724345255908,0.0018921548154355351,0.0013616900914104407,0.0012972440323078425
414,0.0,3.7012362128946993e-09,3.7012362128946993e-09,3.7012362128946993e-09,3.7012362128946993e-09,3.7012362128946993e-09,7.402472425789399e-09,1.8506171753187426e-08,2.2207417277372303e-08,0.0,2.960987340841108e-08,0.0,0.0,0.0,0.0,0.0,3.7012362128946993e-09,0.0,3.7012362128946993e-09,0.0,0.0,3.7012362128946993e-09,3.7012362128946993e-09,3.7012362128946993e-09,3.7012362128946993e-09,7.402472425789399e-09,7.402470097967881e-09,7.402470097967881e-09,7.402472425789399e-09,5.181727690798567e-08,3.7012362128946993e-09
132,0.002600737746664627,0.002923856614068839,0.002768652693953885,0.002936209840437766,0.0028427599029955558,0.0027433032286217065,0.002878061758926978,0.0029422924376449923,0.002991077716525922,0.0028125963672298655,0.002765959076864412,0.0026623151984796296,0.002643275219089287,0.002648669215269468,0.0026234055178310477,0.0026978870334859704,0.002710675388066986,0.0026219790896742446,0.0026954328787303257,0.002690318739201223,0.0026168126483027405,0.002958490680324104,0.0028639405948142063,0.002951490963055786,0.0028236023970453815,0.002805052527572509,0.002826583641114609,0.0028965086839213335,0.003118002251903983,0.002774826393368253,0.002692574171187892
161,0.003667881140821558,0.003974980723992446,0.00382901277616794,0.003988650057918241,0.0039176615333819075,0.003822921633350055,0.003970541340594603,0.004057209241153508,0.00411477349790421,0.003849500007653983,0.003817791748938827,0.003774352247810953,0.0037501017019353437,0.003767742755265132,0.003735728495195412,0.003743596696078223,0.0038024987576814606,0.0037265935897717846,0.0037950288613179672,0.0037782233400413465,0.0037103543261502903,0.004006464893267716,0.003877123925615112,0.004003637180277365,0.0038976929799407396,0.003879112365720445,0.003928510050438257,0.004007687211101547,0.0042236581191719405,0.0038374395938039077,0.003810692372736264
197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,8.124576221366116e-05,0.0002983623412904797,0.00010830425730729277,0.00030912574824976834,0.00023268208283844322,0.00010515476499907123,0.0002549951544373681,0.00025594945281489045,0.000281227590093832,0.00013993063178983383,0.00013335562931842453,0.00010796842211449288,0.0002594689526745721,0.00010786763584993807,0.00010493376045435143,0.0002545499932688245,0.0001331456470027549,9.512548944264195e-05,0.00010630289061824021,0.0001941343451303871,8.88672576547092e-05,0.00031726350984630995,0.00011265273686670584,0.00031320914932022806,0.00021139721182553134,0.00011309936120133167,0.00024675143517815303,0.0002578767279784291,0.00043574983312821613,0.00013504733108971953,0.00013591497345799499
453,0.00013642599126763942,0.0002294520416063326,0.000298862941987892,0.00023685076088602306,0.00022481707110390102,0.00017538774003986486,0.0002706234953958143,0.0003149019746160847,0.0002337602231928129,0.00024670599238884884,0.0002063369176263765,0.00018808833433461825,0.00018698467873734675,0.0001847476775865408,0.00016919163073717683,0.00016092184503706532,0.00021912877832327255,0.0001613238173962062,0.00017278819477272754,0.00019241067504143213,0.0001485238303664468,0.0002646683437650697,0.0003989491571368072,0.0002683433778391529,0.00023385101902111317,0.00020210385529197738,0.0003108358453844715,0.00035513454441572865,0.0003690687980212134,0.00024008097870598116,0.0002112560720027426
