node,checking account status,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,employment, Installment,status n sex, Other debtors / guarantors,residence,Property,Age in years,Other installment plans,Housing,existing credits no.,Job,liability responsibles,Telephone,foreign worker
507,4.08079857854606e-07,0.0,2.1806804685354344e-08,3.3800576184923404e-07,0.0,2.0560437793028007e-07,2.006226789164243e-06,6.3379973506730745e-06,0.0,0.0,3.8784467689930095e-07,4.049767061212382e-07,0.0,2.1650667043158045e-07,1.5576323987537224e-09,0.0,3.348908099688105e-07,1.467752211407221e-05,1.6869057130625877e-06,0.0
818,0.002785612714186839,0.002463658940719711,0.0025834435835176326,0.002523669183674594,0.0024798681905516505,0.002559531983902802,0.002482747709759555,0.0025470975896704547,0.0024171894204068306,0.0023777389041738897,0.0025507011439633216,0.0025868716476186264,0.0023883940885990754,0.0024524404027999,0.002432170016602981,0.002396150294608801,0.0024081988243051084,0.002497169941251873,0.0026058650428304204,0.0022736823057886747
452,1.7570302287344972e-05,6.483197965680818e-07,8.063413350729035e-06,1.5565919887152634e-06,5.5686932209748e-07,1.046011398610382e-05,1.0974061957378578e-06,2.0381074936171702e-06,7.235180169994542e-07,1.357613016920891e-06,5.2769949939521984e-06,4.653926057155895e-06,3.658386993606342e-07,9.757133444990035e-06,5.751593157739466e-07,1.861663254785715e-06,3.922558577449562e-07,4.556594668560618e-06,2.70022864838334e-06,5.487765439864148e-08
368,2.3777509933623466e-06,1.3888865975388495e-08,2.829760305715393e-07,6.770777941471868e-08,1.562496845404094e-08,6.961442413026679e-07,3.993035573577102e-08,1.6666396861309423e-07,5.5555219853872874e-08,8.402777777777777e-07,4.1317393518618967e-07,4.982334019794933e-07,3.472221327319205e-09,1.5552955031944915e-06,8.680466307194237e-08,3.4722213273192046e-09,1.3888866949186293e-08,2.5068204422148763e-06,2.152715795431637e-07,0.0
242,0.0028222655130577183,0.002496075505729181,0.0026174362622481276,0.002556875357143997,0.0025124980351641725,0.0025932100363225755,0.002515415442782707,0.0025806120316398027,0.002448994544359552,0.002409024942386704,0.0025842630011207336,0.002620909432455714,0.002419820326606958,0.0024847093554683196,0.002464172253663547,0.0024276785879589168,0.0024398856509407025,0.0025300274404788715,0.0026401527407624,0.0023035991782332623
929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
318,0.001999490274481964,0.001582657639614023,0.0017764578412324558,0.001630279354888094,0.0016279765454894947,0.0015923033065349916,0.001525376576624598,0.001694068628892279,0.0014589382173123403,0.0013702211349926321,0.0016717845870671464,0.0015695158390204864,0.0014097367738108066,0.0014876630115996936,0.001480270176518485,0.0014658941371866255,0.001455477642179806,0.0015078469077554172,0.0017311760829557534,0.0012781881533666028
49,0.0010189156881436018,0.00015711369550623825,9.223194128871098e-05,0.00013866071983618345,0.00012889977807040316,0.00011211518749816393,9.397781192619878e-05,0.00015134138547995992,0.00010723397203302892,0.00022686659841849652,0.000251737680005436,0.0006534907181645936,5.757906328515989e-05,9.702754717388665e-05,0.00010234415314455567,6.880632995415366e-05,7.092417604526346e-05,8.370725957537866e-05,0.00024341285321691553,3.3983093788165456e-05
446,1.0709496685279116e-08,0.0,0.0,0.0,0.0,2.67737617135178e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6773756564717473e-09,0.0,0.0,0.0,0.0,0.0,0.0
142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
968,0.0016536414509410078,0.0009792188117138663,0.0010792575026240358,0.0011154933274898106,0.001003825865990884,0.0015142922158319669,0.001067034134896891,0.001128394767573762,0.0012044681124232827,0.0008601925159128001,0.0011342272209557208,0.0012263653922573153,0.0008983369272713863,0.0009929058560842455,0.001251060305672979,0.0009690127246631941,0.0009507241073792628,0.000984825606664184,0.0012621022494911584,0.000779173606262667
345,0.0010196858262708336,0.00013654234595572088,0.00037319723155694254,0.0001369353718292684,0.0001414133431035363,9.139850736389441e-05,9.262281064536878e-05,0.00014936854514651377,0.00010563125370388164,6.156389084141547e-05,0.00024939890395828573,9.443237627661098e-05,8.794183140434463e-05,9.570390936872504e-05,0.00010070941743075694,6.761449667067718e-05,0.00014764818059506457,8.262619532674068e-05,0.00024101692098763195,3.321875429527012e-05
971,0.00012063868118649982,6.806254569012588e-07,9.510673556203189e-07,3.0680010143630923e-06,6.823702998832803e-07,1.0330523299860676e-06,7.067980539734402e-07,2.9499395566487074e-05,3.891738336040945e-07,1.1779260034903647e-06,1.415212548361574e-06,3.167107946926003e-06,6.701563690830661e-07,2.562969380064593e-06,7.539083525867554e-07,3.368233847898191e-07,1.3472893322298465e-06,8.118219572889541e-05,4.216138977488729e-06,0.0
133,4.307922311149182e-05,1.5873015873014125e-09,2.2222172393646807e-08,6.34920270678361e-09,0.0,2.0952065179561873e-07,1.904758336427384e-08,3.492059126179093e-08,0.0,0.0,6.031703466441274e-08,7.618984385649598e-08,0.0,1.8222596454051455e-05,1.3396799977651107e-06,0.0,3.1746024328731114e-09,1.5237900119522113e-07,7.126889324710321e-07,0.0
104,0.002013330452952042,0.0015916194500675805,0.001621076623856027,0.0016597880799237097,0.0015950269980635795,0.0018360869819521932,0.001587511386980846,0.0016121082409473362,0.0016168423959906776,0.0013766556778401675,0.0016258558572693662,0.0015782726928476602,0.0014309532434091238,0.001495740252818882,0.0016525957601967141,0.0014739994028481632,0.0014630654193544975,0.0015159069515442902,0.001742221064936465,0.001283251225675451
6,0.001661293409589038,0.0010180574996988697,0.0010810630808036,0.0011235984790074892,0.0010923839639479713,0.0011951089951889727,0.0012257623690128192,0.0011503196086080963,0.0009595188119757405,0.0008600623760369774,0.0011365804429800236,0.0012297187048952221,0.001089631010487058,0.0009938757054731987,0.000998452589441098,0.0009696746285899544,0.0009513286818284797,0.0009859405087885727,0.0013102970084202569,0.000778007211214158
600,0.002860404236207147,0.0025298062558066024,0.002652807022548778,0.0025914277268351315,0.00254645071131504,0.0026282534151917994,0.0025494075433608516,0.0026154851672025026,0.002482089065229276,0.002441579333500038,0.0026191854741088516,0.0026563271274888988,0.002452520601290836,0.0025182865089205943,0.002497471878713054,0.002460485055363767,0.0024728570786561174,0.0025642170004853424,0.0026758304805024327,0.0023347288968580365
496,0.0006598544712040839,0.0002895726687463915,0.0003375547998874056,0.0002884861036917508,0.0003350391912866573,0.00040418198949818335,0.0004264807923374959,0.0003752142207002723,0.00021821817309716372,0.0004061981801211535,0.0007379622341137197,0.0007579016706615972,0.00022160556719074694,0.00023351831790931953,0.0004503648283605986,0.00021446899263303224,0.000334086873995166,0.0003014093401075753,0.0006068184182471236,0.00016018511015776423
