node,age,shape,margin,density
241,0.0017358831419852735,0.0017783853806168737,0.0017620108602234362,0.001736505267626338
852,0.0017437735199033885,0.0017864689505287686,0.001770020000497179,0.0017443984733882757
436,0.0,6.7847208087379716e-09,0.0,0.0
386,0.0,7.457343992362857e-09,0.0,0.0
345,0.0,1.3409212194088372e-05,1.1608685639874623e-05,2.1598300071757742e-07
311,0.0017517724810038626,0.001794663762228442,0.0017781393582976248,0.001752400301247855
875,0.0,0.0,0.0,0.0
267,0.0,7.48962686678867e-09,0.0,0.0
35,1.0403231788677417e-06,1.8194195869508816e-05,0.00043710487420555095,0.0002469186301917239
78,0.0,6.892843849514672e-09,0.0,0.0
604,2.08522490903401e-06,0.00031668014753925865,8.913413966179282e-05,2.191930439246289e-06
347,0.0017598825387862879,0.0018029723907572771,0.00178637148495641,0.001760513265605484
191,0.0017681062889675324,0.0018113974953869842,0.0017947190152599447,0.0017687399631083132
104,0.0,0.0,0.0,0.0
711,0.001776446412972096,0.0018199418231954134,0.001803184670992303,0.001777083076141843
754,3.460207612456366e-07,0.00016411650247544595,2.932679898885551e-05,2.1736750713243368e-07
101,0.0017849056816052966,0.0018286082128296773,0.0018117712646636948,0.0017855453765044233
790,0.0017934869589207067,0.0018373995984682814,0.0018204817034361165,0.0017941297292760792
926,7.289303105678433e-06,2.0408897128495436e-05,1.782801701659365e-05,2.2064450832608738e-06
94,6.129085533757187e-05,0.0008534756931712526,0.0009731823736826412,4.1287918957554935e-05
228,0.0018021932062941082,0.0018463190139948265,0.001829318993258622,0.0018028390968939242
388,0.0,1.730103806228183e-06,0.0,0.0
828,0.0018110274867171184,0.001855369597396762,0.001838286243225576,0.001811676543447326
90,0.0,6.758217993078839e-09,0.0,0.0
672,0.0,7.522190461861664e-09,0.0,0.0
681,0.0,0.0,0.0,0.0
248,0.0,7.0905893697876345e-09,0.0,0.0
370,0.001819992969324629,0.0018645545954036765,0.0018473866701722373,0.0018206452392069662
34,0.0,6.360675758191849e-09,0.0,0.0
809,0.0,7.693381465223995e-07,5.7056486182649395e-08,0.0
366,0.0018290929341712521,0.001873877368380695,0.0018566236035230984,0.0018297484654030008
238,0.0,6.706196842373308e-07,3.2954358213870147e-09,0.0
41,0.0,6.384146886450859e-09,0.0,0.0
371,4.2236739177977035e-06,0.0003128645111211385,0.0004298704463869923,0.00024361274725848421
17,0.0,7.119768749910217e-09,0.0,0.0
435,9.985740038179142e-08,2.0577878759465368e-05,4.4990166691485133e-05,3.5103048978713737e-06
306,0.0018383307772731272,0.0018833413954937289,0.0018660004904095787,0.0018389896192686727
552,0.0018477100159326838,0.001892950280164615,0.0018755209010749337,0.001848372219366982
233,1.1385642366496792e-06,2.2781383122782957e-05,8.844771036230515e-05,3.879690533136558e-06
504,2.3679193905229484e-05,0.00012408699870716087,0.00017906702052697003,1.0575204735382391e-05
937,0.0,6.920396409033827e-07,3.3923604043689858e-09,0.0
535,0.0018572342943653265,0.0019027077558355669,0.0018851885345856291,0.001857899911219389
207,0.0,6.853208094383013e-07,3.359424866462491e-09,0.0
339,0.0018669073896484794,0.001912617692063877,0.0018950072248699293,0.0018675764732569902
189,0.0,6.6799374757844894e-09,0.0,0.0
676,0.0,0.0,0.0,0.0
