node,age,shape,margin,density
241,0.0,4.7052865008822626e-07,7.238928059532146e-09,0.0
852,0.0019428434839172005,0.0020298946537608315,0.0020848487463007727,0.00190806381211652
436,0.0,1.5966054928130086e-06,3.3757999296731576e-08,0.0
386,0.0,1.1161960040183203e-08,0.0,0.0
345,7.362140648384321e-09,7.838610693567642e-06,5.149063889153935e-05,1.1288613361857877e-07
311,0.0,1.6044319903267979e-06,3.3923479685441047e-08,0.0
875,0.0,1.1491464395612966e-08,0.0,0.0
267,0.0,4.7250566122305074e-07,7.269343723647827e-09,0.0
35,0.0029837626095194757,0.0031230413656597724,0.003196549346028429,0.002929680318979903
78,0.0,1.235788433020283e-08,0.0,0.0
604,2.2249743778061798e-05,0.0005513038512595203,0.00038589905688078067,6.4425698541498385e-06
347,2.889424791235022e-05,8.818581698761528e-05,0.00010623870426290641,1.0717892114416085e-05
191,6.271176796557483e-07,2.2114569380040866e-05,2.8624576448988524e-05,2.649149770332427e-07
104,0.003048627014074247,0.003190933569261072,0.00326603954920296,0.0029933690215664223
711,0.003117913991666844,0.0032634547867442776,0.0033402677207757542,0.0030614001356929323
754,0.0006536245824764656,0.0013475980526273627,0.0013288714804093596,0.00038615298500673705
101,0.003192150039087483,0.0033411560911905704,0.0034197979046037483,0.0031342906151141927
790,0.0,1.1841014643388265e-08,0.0,0.0
926,0.0,1.6123355961904765e-06,3.409059042280775e-08,0.0
94,0.0005609363260991833,0.0013527916175534041,0.0016427988895430093,0.0003823128776066396
228,3.460207612456366e-07,1.3249968298433654e-05,7.326805853140812e-05,9.73183391003449e-08
388,0.0,0.00021117795879441143,8.872324078542678e-09,0.0
828,0.00327195379006467,0.003424684993470334,0.003505292852218842,0.0032126478804920472
90,2.176231202802746e-09,3.6547200007340795e-06,3.1891885496947243e-06,9.793040412613323e-08
672,0.0,1.240711892912794e-08,0.0,0.0
681,1.142607537987415e-05,7.62708948301643e-05,0.00026237389527817244,1.8437394231410367e-06
248,0.0007599644876264538,0.0009773649024979118,0.0013429842508147318,0.0003785061864906459
370,2.9529211152719355e-05,8.873725827588989e-05,0.00010697427842460987,1.0826153650925338e-05
34,0.0,0.0,0.0,0.0
809,0.0,1.6365206301333336e-06,3.460194927914987e-08,0.0
366,0.0003622672854259267,0.0005873087249955793,0.0009758950297109406,0.00012441764010681877
238,0.0,3.155154608048781e-06,2.199376613805853e-06,9.436929852154656e-08
41,0.00015282393469336363,0.0010548591864399986,0.0009763110534785717,0.00047459451598002683
371,0.003358057837171635,0.0035148082827721853,0.003597537400961444,0.0032971912457681538
17,0.0,1.482356529745066e-06,3.5554331272268043e-07,0.0
435,3.481405775265488e-05,0.00010631914766628271,0.0002430555775250072,1.7162973564914422e-05
306,3.799547162804148e-05,0.00015643452672663957,0.0004148777019494559,2.9330502058628275e-05
552,0.001962957045506512,0.002046795116502578,0.0021038284511602783,0.0019254688232899538
233,0.0,0.0,0.0,0.0
504,0.0015167464006745363,0.0016027356242886215,0.0017699216822128327,0.0012696250573286207
937,8.96167085174751e-08,8.443130833083576e-06,1.1637067692257665e-05,1.2695677554112387e-07
535,0.0001078875915623614,0.0002428944735768612,0.000469494059943654,7.40421553086469e-05
207,0.0,1.1365645442376327e-08,0.0,0.0
339,0.0034513372215375137,0.0036124418461825243,0.0036974689954325955,0.003388779891483936
189,0.0,2.6482038580128467e-06,1.5012559794221714e-06,8.948812790836312e-08
676,0.0,0.0,0.0,0.0
298,0.0,2.6874915972004212e-05,0.00018426206399596866,8.508707243746002e-08
709,0.002149157327726104,0.0022454675165342348,0.0023019843265162845,0.002109191000181387
309,0.0019790983508942562,0.002067838478911695,0.0021233356160768697,0.0019430555129427768
917,0.0,0.0,0.0,0.0
119,0.00030463107302651407,0.0005088434934524778,0.0008659673736369563,0.0002348167517094147
159,0.0,1.1663621165584695e-08,0.0,0.0
945,0.0,1.4891876658268404e-06,3.571815973235625e-07,0.0
433,0.0,1.157690279260637e-08,0.0,0.0
429,0.0,1.3929039805363121e-06,8.948809630943907e-09,0.0
919,0.002173308458225324,0.002271000721624666,0.002327366371772554,0.00213266395246785
