node,age,shape,margin,density
241,1.03806228373691e-06,2.0761245674740503e-05,0.00020034602076124552,6.920415224912732e-07
852,2.427783022416244e-06,9.837952459756274e-05,0.00019825860726643615,6.958018655031579e-07
436,1.0569648280112692e-06,1.3423373248294821e-06,2.172217436930749e-06,6.996033010503167e-07
386,7.167522951425025e-07,2.0031280309423417e-05,0.00019998309459579809,7.034465064370755e-07
345,0.0016859881325690012,0.0018368545969032288,0.002006104300344337,0.0017185157290371931
311,0.0,0.0,0.0,0.0
875,7.207114605827427e-07,1.9795386699959e-05,0.00019825923962943042,7.073321739350633e-07
267,0.0,0.0,0.0,0.0
35,7.24714612351024e-07,1.5703116281682418e-06,0.00022348927860512012,1.4032986890235522e-06
78,0.0,0.0,0.0,0.0
604,1.0747795760137879e-06,9.80941215560883e-05,0.00019667665876934063,7.190991007480361e-07
347,0.0,0.0,0.0,0.0
191,0.0,0.0,0.0,0.0
104,1.0808158520932316e-06,9.655446489955537e-05,0.00019495771052573555,1.4151734772765752e-06
711,2.470983820352992e-06,9.535585705207706e-05,0.000193237247393007,7.311319066740081e-07
754,1.4469702633515965e-06,9.415418223742152e-05,0.00019151521555768733,7.352852344029438e-07
101,7.632080711615529e-07,2.000363854738824e-05,0.00022291319106389042,1.4315180556806498e-06
790,1.4596198562770854e-06,3.524299389811065e-06,1.1318818249677791e-05,7.477114938273155e-07
926,1.8140659512602343e-06,3.544669025417262e-06,2.7593714772069093e-05,4.060179002454863e-07
94,7.865736544539097e-07,9.413836204218738e-05,0.0002295001712598834,4.083782333760413e-07
228,1.1371834265740284e-06,1.9669706026404154e-05,0.00019318165933249713,4.107661713617296e-07
388,1.143870734053711e-06,9.167637168958254e-05,1.505699782664361e-05,4.131822013308155e-07
828,2.1886656705327372e-06,9.220505684845039e-05,0.00019261997758837523,4.1562682194093786e-07
90,4.71644637709524e-07,5.322624005074828e-06,1.5258784632993603e-05,4.181005437222399e-07
672,4.7446857467506747e-07,5.354492817905213e-06,1.6383611838212495e-05,4.206038894328259e-07
681,1.1693417919868673e-06,1.95529277455779e-05,0.0001956097342788821,4.231373944270662e-07
248,1.5224335065255668e-06,1.9325427838994357e-05,0.00019397838686348112,4.2570160703729424e-07
370,0.0,0.0,0.0,0.0
34,4.93694947360056e-07,9.165082057568466e-05,0.00019200211655314177,4.2829708896946856e-07
809,4.967234478377574e-07,9.047185479022896e-05,1.8995086736065216e-05,4.3092441571339844e-07
366,1.1918001010415756e-06,1.9522788053136097e-05,0.0001935758706533046,4.335841769681628e-07
238,0.0,0.0,0.0,0.0
41,5.071910801919275e-07,8.871734762374953e-05,0.0001916213432456502,1.128300446526184e-06
371,1.202369358663607e-06,8.718675420687865e-05,0.00025396811091088804,1.4813612382872567e-06
17,5.179220226796941e-07,1.970644829937105e-05,0.00019049626566276776,4.526439553603765e-07
435,0.0017127851296968083,0.0018735916888412934,0.0020462263863512235,0.00175278759292494
306,8.672029239678202e-07,1.9485490071644636e-05,0.0001885509188631796,8.015183154137396e-07
552,1.2187280939967092e-06,1.9263945856944737e-05,0.00018694672107203662,4.6061320571623663e-07
233,5.345342938516338e-07,8.339943935421161e-06,0.000184998630088438,4.6356555920595246e-07
504,1.2299856836306638e-06,1.8750221895879324e-05,0.00018339130788771934,4.6655600567466236e-07
937,0.0,0.0,0.0,0.0
535,0.0017389369755690413,0.001912624849025487,0.0020888561027335405,0.0017889034400229657
207,0.0,0.0,0.0,0.0
339,5.459686786698023e-07,1.8526395411079996e-05,0.0001814402171552141,1.161602094283201e-06
189,0.0,0.0,0.0,0.0
676,0.0,0.0,0.0,0.0
298,5.495367445639326e-07,8.457871991241954e-05,0.00025391584055862944,4.771766985024655e-07
709,1.2451518484953192e-06,1.8511617369576362e-05,0.0001803986990268634,4.803157049553116e-07
309,9.073961919447204e-07,8.282687968848752e-05,0.00017845731038727692,1.3748927325544301e-07
917,9.134442900294293e-07,9.867651115901674e-06,3.4339786015688434e-05,1.384058684104793e-07
119,0.0017369385175691708,0.0019542036500912584,0.0021342660180103568,0.0018277642414281311
159,0.0,0.0,0.0,0.0
945,5.7357555903043e-07,1.8560417349726215e-05,0.0001798172783607398,1.3933476685618722e-07
433,0.0,0.0,0.0,0.0
429,1.2694459138914245e-06,1.834045017409878e-05,3.578523598875537e-05,1.402762179835939e-07
919,9.320822573041548e-07,8.126161230950127e-05,0.0001812138600025821,1.4123047796987685e-07
915,0.00183743304077481,0.0019986173694115142,0.0021827720638742287,0.0018689970430699108
858,0.0,0.0,0.0,0.0
737,5.92468991571298e-07,1.8330135739685133e-05,3.7269863790206204e-05,1.421978100107664e-07
900,5.965545760173126e-07,1.0521982766760229e-05,3.752689733358694e-05,1.431784845625648e-07
452,6.006969018545329e-07,1.0595052091529398e-05,0.00028830865296149664,1.4417277959424927e-07
625,6.048971594221158e-07,1.791317414998959e-05,3.980364521359657e-05,1.4518098085015311e-07
6,2.6316212755617964e-07,0.00012083154548593117,0.00029556718996747784,1.4620338212374575e-07
486,6.110227840170282e-07,1.8549364511457352e-05,0.0001915479728498857,1.472402855430631e-07
472,2.693929740812185e-07,8.00635219463244e-05,0.0001897813890094471,1.4829200186837068e-07
865,0.0,0.0,0.0,0.0
541,6.173246811717765e-07,1.891165486231121e-05,0.0002945716917851723,1.493588508026755e-07
389,6.21797601089919e-07,0.000122134959249065,4.704828479635448e-05,1.5044116131573835e-07
304,2.8034308890740534e-07,1.338928284586917e-05,0.0001924363790882898,1.5153927198227658e-07
612,0.0018758295754425843,0.0020462034972546454,0.0022347428272998055,0.0019132483645551428
194,6.283969559514932e-07,7.932008314396279e-05,0.00019072095525294108,1.5265353133508743e-07
509,0.00189904895485388,0.0020973585846860115,0.0022906113979823004,0.001960599359491321
891,6.33051282738574e-07,7.782873759882678e-05,0.00018866494457212444,4.997896810496791e-07
516,6.377750736162628e-07,7.667602830548683e-05,0.00018694800704048193,1.5751407197304258e-07
483,6.425698953915176e-07,7.551967508973468e-05,0.0001852313707210955,1.5869838830366696e-07
467,0.0,0.0,0.0,0.0
923,0.0,0.0,0.0,0.0
148,0.0,0.0,0.0,0.0
943,3.0144674577804957e-07,7.401514003360944e-05,0.00018351499767023662,5.059054200018735e-07
59,3.0374786597482855e-07,2.1535489231809523e-05,0.00030537749692044426,1.2017756772364808e-06
833,0.0,0.0,0.0,0.0
684,0.0,0.0,0.0,0.0
683,1.3440548464412924e-06,1.653539002121766e-05,5.8526401201309007e-05,1.7300695054268227e-07
372,6.624925287420159e-07,7.313769361353908e-05,0.00031035590339948907,1.2123580690041776e-06
154,0.0,0.0,0.0,0.0
839,3.216791407189601e-07,2.1710824019319295e-05,0.00018547318376204783,1.8381963710827105e-07
3,6.702003873796971e-07,7.14578976545988e-05,0.00018382223682336456,1.85267035825659e-07
677,0.0,0.0,0.0,0.0
953,3.2953109803228405e-07,2.2103718603072956e-05,6.398387299908135e-05,1.8673740912586265e-07
736,3.321673468165423e-07,2.228033615619895e-05,0.00018538308650073665,1.8823130839886955e-07
667,3.3484611574248214e-07,6.926934236065833e-05,0.00018377009334652288,1.897493028214411e-07
720,6.835554462881779e-07,6.810351544796549e-05,0.00018215886456283888,1.91291980080152e-07
890,3.431713553808954e-07,1.945093791328137e-05,7.4064784629514e-05,1.9285994712998932e-07
242,3.460074822848697e-07,6.743597279585122e-05,0.00018012417845279674,1.9445383099056773e-07
643,6.948767501284165e-07,2.3613689862799622e-05,0.00017852607465941884,1.9607427958215578e-07
117,3.547301783918241e-07,2.346794224480783e-05,0.00017692988214679733,1.9772196260385458e-07
