node,checking account status,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,employment, Installment,status n sex, Other debtors / guarantors,residence,Property,Age in years,Other installment plans,Housing,existing credits no.,Job,liability responsibles,Telephone,foreign worker
507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
452,0.0020625859360076815,0.0019581447004720426,0.0019337678744520295,0.0019757633727636205,0.0019756510305227216,0.001960423728244386,0.0019695110710071634,0.0019496460868964234,0.0019335483645866222,0.0019395610207149062,0.0019523359801278612,0.0019642734612918193,0.0019491620906492142,0.001994160688947536,0.0019429408237487784,0.001925712833242075,0.0019542230045010833,0.0019289095031588843,0.00198353725762508,0.0019101611930919407
368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,1.8903165684278341e-06,1.1864218291126516e-07,4.7080688169594164e-08,5.649676980961363e-08,6.779598843825494e-08,1.0357699985200494e-07,3.3898155112107553e-08,1.2994146910030897e-07,3.954781024703639e-08,1.50658924775922e-08,4.14310415419326e-08,9.981041384430415e-08,1.8832349275096616e-08,3.766459616517403e-08,5.649673853385198e-08,1.883234524903521e-08,2.6365255583640823e-08,3.389816889089724e-08,6.026316224218353e-08,1.1299427098819254e-08
929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,0.0,3.333333333332966e-07,3.333333333332966e-07,0.0,0.0,0.0,3.333333333332966e-07,3.333333333332966e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
810,4.233059596906733e-06,2.41184572089624e-05,4.380619972763172e-06,3.105628936888354e-05,1.5401200892764088e-05,2.4374259230125554e-06,4.0340498493561635e-06,5.7971242839548645e-06,1.037298255225514e-05,5.0151287668980066e-06,8.374895612407245e-06,3.2099413894291296e-05,3.6855851846398618e-06,8.037787690913409e-06,1.2056613198856397e-05,6.0189052563857774e-06,6.359798012895033e-06,4.367379787452698e-06,7.3938055676599105e-06,3.6780177950645584e-06
318,0.0020792196935561307,0.0019739361899919782,0.0019493627766653523,0.0019916969483504236,0.001991583700123711,0.00197623359702055,0.0019853942248056083,0.0019653690392101046,0.0019491414965590948,0.0019552026418497037,0.0019680806251288923,0.001980114376302237,0.001964881139767353,0.0020102426299874352,0.0019586097013596557,0.0019412427754456401,0.001969982867440608,0.0019444652249585527,0.001999533525831734,0.0019255657188426822
49,0.00022313074292000501,1.992228560572372e-05,4.405619545144877e-06,9.900269532903477e-06,1.4488849779858422e-05,3.784630417312085e-06,5.3903843770698265e-06,2.4970248663770366e-06,8.09880898764775e-06,1.0377006897084989e-05,8.089308136363825e-06,3.1281163375232716e-05,4.03995183822328e-06,7.750282721321349e-06,1.179193934759792e-05,5.719909091944059e-06,6.062743618933107e-06,4.058976371377801e-06,1.6435685223603872e-05,3.3656818253927834e-06
446,3.207606506952326e-06,3.7163193598881475e-07,9.769995876802783e-08,2.9118038562667935e-07,2.394573067707657e-07,1.3984440318926464e-07,8.812169224891855e-08,1.781569150046139e-07,1.4559157896659049e-07,1.0344734348028755e-07,1.360132681894391e-07,4.635795417285972e-07,6.321795204176234e-08,1.2835066964936182e-07,1.9348244166046594e-07,8.620613229118109e-08,9.770011523481241e-08,8.237467846175026e-08,1.9731384515778496e-07,5.172387192888977e-08
142,0.0,1.5151515151513483e-09,1.5151515151513483e-09,0.0,0.0,0.0,1.5151515151513483e-09,1.5151515151513483e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
968,0.0012432874529062872,0.0007387793210296345,0.0007872119738215188,0.0009231142216310313,0.0008786560381995963,0.0010066411462046052,0.0009354707224890358,0.0008659198717230305,0.0008487712105951909,0.0008896540365676673,0.0008645642253224239,0.0008167240040504615,0.0008080083670317241,0.0010419213407269067,0.0007060381304988512,0.0008184627583782048,0.0009318307263657593,0.0006866368182837862,0.0006918573161765695,0.0008276201547968229
345,0.0020962624779295416,0.001990115994827978,0.001965341160080642,0.0020080223331729683,0.0020079081566821023,0.0019924322330617025,0.0020016679479597527,0.001981478621498712,0.001965118066203022,0.001971228893012406,0.001984212433531588,0.001996344822009633,0.0019809867228802,0.00202672002859389,0.001974663879239653,0.001957154601473883,0.0019861302679934,0.0019604034645073934,0.0020159231448959288,0.0019413490444069664
971,0.00021801806106579294,1.0705954712499673e-05,5.431440808230109e-06,5.2924242139789736e-06,7.906954184377219e-06,2.807206896805518e-06,6.088471530273486e-06,5.084312975222733e-05,9.812675159322437e-06,6.103858023454368e-06,6.469872886388283e-06,8.79842687761133e-06,1.4396643298556062e-05,9.79538487921633e-06,1.4527097387009945e-05,7.086522354323243e-06,9.43132304752252e-06,2.8748804982178368e-05,1.5530874830765808e-05,4.3852885574707784e-06
133,1.000000000000001e-05,3.3485525114151565e-07,1.5220700152205326e-09,0.0,3.333333333332966e-07,0.0,1.5220700152205326e-09,1.5220700152205326e-09,0.0,0.0,0.0,0.0,3.333333333332966e-07,3.333333333332966e-07,0.0,0.0,0.0,0.0,0.0,0.0
104,0.002113731331912288,0.0020067002947848776,0.001981719003081314,0.0020247558526160763,0.002024640724654453,0.002009035835003883,0.0020183485141927505,0.0019979909433445343,0.0019814940500880473,0.001987655800454176,0.0020007475371443513,0.002012981028859713,0.0019974949455708684,0.0020436093621655055,0.00199111941156665,0.001973464223152832,0.0020026813535600116,0.001976740160044955,0.0020327225044367283,0.001957526953110358
6,0.0021316443093013747,0.0020237062294864447,0.0019985132319209863,0.0020419148005196026,0.0020417986968972873,0.0020260615624191703,0.002035453162618113,0.0020149230699830476,0.0019982863725464205,0.002004500341135991,0.00201770302474727,0.002030040190121236,0.002014422868838418,0.002060928085573688,0.002007993304885012,0.0019901884962303983,0.0020196532294376388,0.0019934921952995733,0.0020499489663387345,0.001974116164577395
600,7.156766162794174e-06,2.7099202494720576e-05,5.129648078383829e-06,1.0989264457194546e-05,1.695204472299744e-05,2.8235148103595188e-06,4.790522182332286e-06,4.980109281121093e-05,9.86956015002802e-06,2.580512511536037e-05,2.3506527440337677e-05,3.251244567366207e-05,1.547994061156387e-05,9.518854907475757e-06,1.4277888650841682e-05,6.794316001372929e-06,7.486094646766178e-06,5.582928388942367e-06,1.5287450795743156e-05,4.077425695092644e-06
496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
702,0.0021500205533470764,0.0020411519728440863,0.0020157417942651325,0.002059517514317185,0.0020594004098015745,0.0020435276103710595,0.0020530001726406827,0.0020322930964484184,0.0020155129792063034,0.002021780516490612,0.0020350970163399186,0.002047540536587798,0.0020317885832249563,0.0020786947070010474,0.0020253035919960893,0.0020073452936116946,0.0020370640331396875,0.0020106774728452593,0.002067620940186482,0.0019911344073754757
472,4.587155963302756e-08,3.058103277337577e-09,1.5290519877674157e-09,0.0,1.5290519877674157e-09,0.0,1.5290519877674157e-09,1.5290519877674157e-09,0.0,0.0,0.0,0.0,1.5290519877674157e-09,1.5290519877674157e-09,0.0,0.0,0.0,0.0,0.0,0.0
