node,sepal_length,sepal_width,petal_length,petal_width
14,0.0010000000000000009,3.333333333333213e-05,1.1111111111109887e-05,1.555555555555631e-05
98,0.00031576060606060583,0.00029408090909090884,0.00012913994949495007,0.00025368283838383764
75,0.0004250908425323006,0.0017336730723333331,0.0004409694188058503,0.0003506006570788104
16,0.00070787087029055,0.00011317730507357724,2.708013207054581e-05,4.791220311545971e-05
131,5.967337288254755e-05,0.00015805383761058063,3.218178813792609e-05,8.016807455521996e-05
56,0.0008257979934796603,0.001139534858394911,0.0004526980295519031,0.0002686838329701337
141,0.00021961826305650115,0.001769462642318968,0.0002842943053993305,3.576167183784488e-05
44,0.0004622199020251636,0.0002175243374878619,7.202861057921807e-05,6.333823979695143e-05
29,0.00016255399520294882,0.0015617298196304384,5.844184392016012e-05,4.063277695243258e-05
120,0.00025774546827498496,0.0015053301003802835,0.00014658254263330903,3.954141021807438e-05
94,0.0013242203741407517,0.0012509736614080094,0.0005056325719231539,0.0004623309108977066
5,0.0009791669036445184,0.00029776824964790495,8.132069268388589e-05,7.644081888035e-05
102,0.0002450238085612445,0.0023308211910022026,0.00012589160165661138,8.540675282555256e-05
51,0.0008740637652132192,0.0016091424572187499,0.0006040140501270155,0.0004628126019487764
78,0.0013965478731453854,0.002219024923151625,0.0005610326350192992,0.00042649684927913113
42,0.000278866757846174,0.0015906790657162343,0.00011479508873853605,9.280503684467723e-05
92,0.0016428708703713822,0.001249944213631663,0.0004969474378456909,0.0004458421219921794
66,0.001535872214846509,0.0022805375630226775,0.0005850981963858028,0.000446014269661893
31,0.0012118635790737114,0.0011590234474399034,0.00016035367256533664,0.00014168780685910388
35,0.0006357213676531247,0.0016266064021266983,0.00015768834220526048,0.00012723680925243056
90,0.001329059661726342,0.0014549409342880428,0.0007200281454943619,0.0004638053079042379
84,0.0011152095459656748,0.0023332189082738955,0.0007051945952783703,0.0005269917451614384
77,0.0010237308020215811,0.0022720230151161225,0.0006295146126922913,0.00039952155197575223
40,0.0007558798253368396,0.001279330733108708,0.000253243308684174,0.000197105730821355
125,0.0007139509945169746,0.001757983308096346,0.0003465638919034601,0.00039593508657909105
99,0.0018977027165884993,0.0024807987678960863,0.000682042444406274,0.0005432028199390245
33,0.001556671275582395,0.0013085884896292875,0.0003185080939018501,0.00024824926087671777
19,0.0010527527167973527,0.0014083765139561587,0.00033619767953927673,0.00026203674899329864
73,0.002500336605435837,0.0035712762700826446,0.0012571280993646824,0.0005474477986542178
146,0.00241890827084661,0.0025190479271223606,0.0011689810884666623,0.0005330144495261491
91,0.002421065086887677,0.0034847432719328137,0.0011378535348670975,0.00068415173199194
135,0.001425594253220566,0.003456178148072797,0.0006737242198190464,0.00041567770023791175
69,0.002561605554862378,0.0030271150683726673,0.0009325407069095384,0.0005762390724796899
128,0.002928258599498022,0.004057040211643353,0.0009489801488470125,0.0005282059595248784
114,0.0030779829618964158,0.00410263632158721,0.0011199962677725015,0.000521833207662968
48,0.002700665965680878,0.0034444734173186943,0.0009235141745365582,0.000578336601093068
53,0.0030302387271125704,0.004014364246110594,0.001284782158220577,0.0011304658061819816
28,0.0031030096246395227,0.004552889334841328,0.0011803061400461464,0.0007773881284327434
54,0.005501065014995651,0.006474586428440287,0.002188095735312298,0.0018762857206689252
108,0.005482862381367743,0.006433134171427553,0.0021114586160402783,0.0017435142788521576
112,0.005847819047752251,0.008316157235948907,0.0025054272196701763,0.001593199933665968
17,0.006972168829306436,0.009417519540104577,0.0027601480515391085,0.0019500712446813742
119,0.010663715539126012,0.012590943466995822,0.007297746444467328,0.005516415703283697
103,0.016089660506921996,0.020517928489360904,0.0081511725924919,0.005855226449488386
58,0.02644089717539608,0.030776892734041356,0.018851232719499966,0.0167158481375086
