node,age,shape,margin,density
241,0.0,5.944262666026956e-07,4.027977759594707e-07,0.0
852,0.0003047205115773635,0.0010933192429875747,0.0012934200065902728,7.626005703626019e-05
436,0.0,5.41864293917766e-07,8.160867010510298e-09,0.0
386,0.0,1.3160543704661383e-07,0.0,0.0
345,2.214530296933851e-08,1.021872372004999e-05,1.5552561361151356e-05,9.688532741751319e-08
311,0.0,5.576467490804195e-07,4.703185658217062e-08,0.0
875,0.0,5.31829769956326e-07,8.009739843648996e-09,0.0
267,0.0,2.395528347085472e-08,0.0,0.0
35,0.0,1.3217026724853062e-07,1.730103806228183e-06,0.0
78,0.0,1.277828724850939e-07,0.0,0.0
604,8.534823498667364e-07,0.00018686630700767172,0.00013595167372948934,3.657827637931709e-07
347,1.8437855578895907e-06,5.971740921308528e-05,6.863590175878914e-05,1.6032746082836622e-06
191,1.8960019665529548e-08,3.568103162871364e-06,2.229669279672881e-06,1.896001963129575e-08
104,2.0138458816234946e-06,0.00023081127349820882,0.00016704050994731812,4.642685741986228e-05
711,0.003654354645316442,0.004352517862854788,0.0048691288824154275,0.0029381100002319684
754,7.745728151549142e-06,0.00035085150775850257,0.0002865112407134283,2.3147850308330564e-06
101,2.129356054744088e-08,1.32018367157164e-05,0.0003692589951707636,9.36379662152896e-06
790,0.0,2.404777491282713e-08,0.0,0.0
926,0.0,6.100690630922401e-07,6.37403672657216e-08,0.0
94,4.097032210787942e-05,0.0007042504168177057,0.0011549961112104093,1.5722101984678538e-05
228,1.9090778421843548e-08,4.629695241396809e-06,2.4376006732532112e-05,1.9090778387373648e-08
388,1.922335327199524e-08,0.0005864047132550132,2.4143241337193394e-06,1.9223353237285966e-08
828,0.0029501099278858006,0.0035292814525953757,0.0039444635741792715,0.002305137498593998
90,1.6188086965890725e-08,2.2720828508814717e-06,1.3557331552432943e-07,0.0
672,0.0,2.414098334272181e-08,0.0,0.0
681,2.1458626908273754e-08,1.2959038806183262e-05,6.408493533803625e-05,9.388113121852052e-08
248,5.4941296089942256e-06,4.555267033098153e-05,0.00016464786803399104,9.054727944406768e-07
370,1.9633699444492586e-06,6.44996756923459e-05,7.306420620481184e-05,1.6520029348515896e-06
34,0.0,4.859870917078218e-07,7.864108210128105e-09,0.0
809,0.0,0.0,0.0,0.0
