node,sepal_length,sepal_width,petal_length,petal_width
14,0.011131723398635173,0.011137387336425544,0.011154976808113061,0.011153414797486227
98,0.011278193443354057,0.011283931906641669,0.011301752818746128,0.011300170255347887
75,0.011430601462858842,0.011436417472947637,0.011454479208188643,0.011452875258798534
16,0.011589359816509659,0.011595256604516355,0.011613569197191264,0.011611942970726291
131,0.011754922099602653,0.011760903127438016,0.01177947732857971,0.011777827870308096
56,0.00037565485858585915,0.0002244444444444444,0.0007245421616161608,0.0007912085252525245
141,0.011927788601067399,0.011933857585194458,0.011952704936352941,0.011951031221342038
44,0.012108512670780542,0.012114673609212557,0.012133806526297683,0.012132107451968433
29,0.012297708181261488,0.012303965384356502,0.012323397253271084,0.01232167163090544
120,0.012496058313217318,0.012502416438942898,0.012522161725098038,0.012520408270113591
94,0.01270432595177094,0.012710790046258613,0.012730864420516337,0.012729081741282152
5,0.01292336605438768,0.012929941598780312,0.012950362082939032,0.012948548667855981
102,0.013154140448216032,0.013160833413044247,0.013181618548705802,0.013179772751210553
51,0.013397735641701514,0.013404552550322845,0.013425722595904056,0.01342384261697371
78,0.013655384404041928,0.013662332407059823,0.013683909568902211,0.013681993436530898
42,0.013928492092122767,0.013935579055201019,0.013957587760280256,0.013955633305261516
92,0.014218669010708658,0.01422590361885104,0.014248370838619427,0.014246375665787797
66,0.014527770510941455,0.014535162393173888,0.014558118030763328,0.01455607948460927
31,0.01485794711346285,0.01486550699301875,0.014888984349644314,0.014886899472895846
35,0.01521170775902149,0.015219447635709673,0.015243483977016798,0.015241349460345745
90,0.015592000452997027,0.015599933826602415,0.015624571076442217,0.01562238319685439
84,0.016002316254391687,0.016010458400986687,0.016035743999506486,0.016033498544140032
77,4.4444444444439546e-06,0.0,4.4444444444439546e-06,4.4444444444439546e-06
40,0.0164468250392359,0.016455193356569652,0.01648118133282611,0.016478873503699476
125,0.01693055518744872,0.01693916963176288,0.016965921960262174,0.016963546253808283
99,0.01745963503705649,0.017468518682755466,0.017496107021520366,0.017493657074239794
33,0.018041622871625043,0.018050802638847317,0.018079310588904378,0.018076778976714454
19,0.01868596654561165,0.01869547416166329,0.01872500025279382,0.018722378225882828
73,0.019404657566596713,0.0194145308601888,0.019445192570208963,0.01944246969610909
146,0.02021318496520491,0.02022346964603,0.020255408927301006,0.020252572600113636
91,0.0003353739298765103,0.0002429415658914738,0.0006831089696452907,0.0007245795366034308
135,0.02113196609998695,0.021142718266304095,0.021176109333087417,0.021173144081936983
69,0.022188564404986302,0.0221998541796193,0.022234914799741788,0.02223180128603383
128,0.02342126242748554,0.023433179411820375,0.023470187844171885,0.023466901357480155
114,0.024885091329203385,0.024897753125059145,0.024937074584432627,0.024933582692322667
48,0.026662597852717913,0.026676164062563373,0.026718294197606386,0.02671455288463143
53,0.028884481007111072,0.02889917773444365,0.02894481871407359,0.02894076562501738
28,0.03177292910782218,0.03178909550788802,0.03183930058548095,0.03183484218751912
54,0.0003632265025326853,0.0003041920422852711,0.0006456319173959233,0.0007035658226072894
108,0.00031201682217129917,0.00024046126877360304,0.000842765146978767,0.0005273364562378448
112,0.035744545246299955,0.03576273244637402,0.03581921315866607,0.035814197460959006
17,0.041701969454016614,0.041723187854103026,0.04178908201844375,0.04178323037111884
119,0.00030196562501602457,0.0010965879430231032,0.0006902929138038259,0.0007219179722867264
103,0.052127461817520766,0.052153984817628785,0.05223635252305468,0.05222903796389855
58,0.07819119272628115,0.07823097722644318,0.07835452878458203,0.07834355694584783
