node,sepal_length,sepal_width,petal_length,petal_width
14,0.011929672983000496,0.011141894746147487,0.016271920789507073,0.016979068928510033
98,2.273896640826623e-06,4.599452196381922e-06,4.547782828305818e-06,6.821658679891191e-06
75,0.0013548514476655973,0.0009193184122722441,0.002010332372813178,0.002095262131364411
16,0.011241197120437162,0.009863886713465761,0.015050517328938261,0.015483191773299085
131,0.006162716404186789,0.001705571373519843,0.006896176745635318,0.005430855845561549
56,9.66808792544505e-05,4.950956772501206e-05,0.00024148484117665254,0.0002673254053413301
141,0.016124316417928646,0.015125254346029182,0.018287795352743927,0.01866404305114757
44,0.007261251360644607,0.005961644633325386,0.009201245504015434,0.010061054656529522
29,0.006754715583765348,0.0035388693047828427,0.007992809568068275,0.008984089163303363
120,0.020886183152652088,0.019634714594675723,0.023504450054375514,0.023867932626316805
94,0.0006320340643566796,0.0007820037456733402,0.0012336948630088057,0.0013233152111170288
5,0.008773292270095856,0.007880394618012891,0.011810407905408021,0.012473153004652446
102,0.023496956046733596,0.02208905391901019,0.026442506311172453,0.026851424204606407
51,0.0007057637163762462,0.00043639650816965005,0.0012233901030031724,0.0013127640567010264
78,6.610624421940736e-05,5.477428169030107e-05,0.00018567549366975487,0.00020871761532517168
42,0.007488786838289457,0.0034631674172510406,0.008585389027011973,0.00911175671250159
92,0.001818954325313565,0.0017983273801171211,0.0027757453682575144,0.002920913638808172
66,3.631314583343066e-05,2.742455713004117e-05,0.0001248095160838454,0.00014079414985518468
31,0.005751690258380875,0.004069729672967214,0.008804848871360791,0.008928945446988192
35,0.006626006737535651,0.0035358431541077165,0.009435210370590284,0.009920484862696395
90,0.0005773667737787822,0.0008525369515998437,0.0011602242387010835,0.0012101352528032859
84,2.6772359665460328e-05,2.026431143169705e-05,9.798848616274446e-05,0.00011142698278580551
77,2.2222222222219773e-06,0.0,2.2222222222219773e-06,4.4444444444439546e-06
40,0.0075310152895743466,0.005148027003195624,0.010288100235473762,0.010668710899607001
125,0.0071261688733169045,0.004435840589828829,0.00989366011971975,0.008598194513726566
99,0.0011023554339199416,0.0010302840851932986,0.001914772083905805,0.0020023179363853174
33,0.015369557370442478,0.014381662219544927,0.019172595823399887,0.019747041632161125
19,0.00951020744075919,0.007756375453704662,0.012469385975523464,0.013231256845481702
73,0.0005789444645549885,0.0005784585970060634,0.001120869025968773,0.0011524324066904208
146,0.000608950081946798,0.0008803344017700822,0.0013077513881051069,0.0020103469753527813
91,0.00022092532162541314,0.0001564048553908408,0.0004891908259981269,0.0005320775011341047
135,0.02741311538785586,0.025770562905511888,0.03084959069636785,0.03132666157204081
69,0.0006842914457495293,0.0011631119777172016,0.00130626987664989,0.001379765941147939
128,0.03426639423481982,0.03221320363188986,0.038561988370459814,0.03915832696505101
114,0.05139959135222973,0.04831980544783479,0.057842982555689725,0.05873749044757652
48,0.009472360178632327,0.007673583110774927,0.012968723234705892,0.014077190773888405
53,0.0005877978199501577,0.0014142827661618451,0.001161593020748294,0.0012649922168902039
28,0.007221442403400505,0.004881996142968752,0.0103796041893086,0.011320803632731588
54,0.00014809032304966612,0.00012635115457863662,0.000312169230191226,0.0003453298811290455
108,0.012278661259202989,0.012316518838269204,0.015169221226037664,0.015037001475286657
112,0.018986262987731588,0.017849740540614292,0.0213676818676141,0.021698120569378913
17,0.007508616155427198,0.005103701505516605,0.010636901650460929,0.011236156932173271
119,5.050505050504494e-08,6.666666666665932e-06,2.2727222222219715e-06,2.3232222222219662e-06
103,0.008532737920268863,0.008545075344874005,0.012095089744475821,0.011781719376393317
58,0.0011818682364209817,0.0008555940006002991,0.0018047718515086736,0.0018283801039220325
