node,sepal_length,sepal_width,petal_length,petal_width
14,0.011397895228459288,0.01141106422811641,0.011413200689836495,0.011414759048098964
98,0.011536893950757573,0.011550223547971488,0.011552386064102794,0.011553963426734317
75,0.011681105125142043,0.01169460134232113,0.01169679088990408,0.011698387969568496
16,0.011830862883156684,0.011844532128761145,0.011846749747466951,0.011848367302511681
131,0.011986532131619272,0.012000381235718529,0.012002628033617832,0.012004266872281571
56,0.012148512295560073,0.012162548549714726,0.012164825709747803,0.012166486694879972
141,0.012317241632998407,0.01233147283512743,0.012333781622383189,0.012335465676753305
44,0.012493202227755528,0.012507636732772108,0.01250997850270295,0.012511686614992638
29,0.012676925789928403,0.01269157256707758,0.012693948774801522,0.012695682006389588
120,0.012869000423109136,0.012883869121124209,0.012886281331995484,0.012888040824668217
94,0.013070078554720217,0.013085179576141776,0.013087629477807915,0.013089416462553658
5,0.013280886273344736,0.013296230859627932,0.013298720275837074,0.013300536082917428
102,0.013502234377900482,0.013517834707288397,0.013520365613767692,0.013522211684299384
51,0.013735031522347042,0.013750900822931301,0.013753475365729203,0.013755353265063167
78,0.013980299942388953,0.013996452623340788,0.013999073140117224,0.014000984573367866
42,0.014239194385766527,0.014255646190439692,0.01425831523530458,0.014260262065467271
92,0.014513025047031267,0.014529793232563534,0.014532513605214284,0.014534497874418566
66,0.014803285547971893,0.014820389097214804,0.014823163877318569,0.014825187831906938
31,0.015111687330221307,0.015129147203406778,0.015131979791429374,0.015134045911738331
35,0.015440202272182641,0.015458041707828666,0.01546093587385175,0.0154630469098196
90,0.015791115960186793,0.015809360837552043,0.015812320780075655,0.015814479794133682
84,0.01616709491161981,0.016185774190827094,0.016188804608172694,0.01619101502732734
77,0.016571272284410306,0.01659041854559777,0.01659352472337701,0.016595790403010523
40,0.017007358397157946,0.017027008507324026,0.017030196426623775,0.017032521729405538
125,0.01747978501930122,0.017499980965860806,0.017503257438474435,0.017505647333000137
99,0.017993896343398316,0.018014686288386123,0.01801805912784133,0.018020519313382492
33,0.018556205604129513,0.018577645234898188,0.01858112347558637,0.018583660541925697
19,0.01917474579093383,0.019196900076061462,0.019200494258105917,0.019203115893323217
73,0.01007409725964294,0.010082051036337867,0.01028074841490545,0.010295376562511628
146,0.019859558140610037,0.019882503650206516,0.019886226195895418,0.019888941460941903
91,0.02062338729986427,0.020647215329060612,0.0206510810495837,0.02065390074790121
135,0.021482695104025278,0.021507515967771472,0.021511542759983023,0.021514479945730428
69,0.022459181245117338,0.0224851303299429,0.02248934015816407,0.02249241085235454
128,0.023582140307373205,0.023609386846440046,0.023613807166072275,0.023617031394972263
114,0.02489225921333838,0.024921019449020046,0.024925685341965174,0.024929088694692944
48,0.02644802541417203,0.026478583164583798,0.026483540675838,0.02648715673811125
53,0.028337170086612892,0.028369910533482638,0.028375222152683573,0.028379096505119203
28,0.030698600927163963,0.030734069744606192,0.030739823998740534,0.030744021213879133
54,0.00783215414141414,0.007738211626262626,0.008272306944444445,0.008330541237373737
108,0.03376846101988036,0.033807476719066816,0.03381380639861459,0.03381842333526705
112,0.03798951864736541,0.03803341130895017,0.03804053219844141,0.03804572625217543
17,0.04432110508859298,0.0443723131937752,0.04438062089818165,0.044386680627538005
119,0.00666888888888889,0.007915555555555554,0.007348888888888889,0.007411111111111111
103,0.05540138136074123,0.055465391492219,0.05547577612272706,0.05548335078442251
58,0.08310207204111185,0.0831980872383285,0.0832136641840906,0.08322502617663376
