node,age,shape,margin,density
241,0.0,1.2169717242648097e-06,1.0037822409176042e-05,2.011748611893236e-09
852,0.001035308291641951,0.0017208662729170628,0.001960560085594981,0.000640729966733251
436,0.0,6.404479045965604e-07,0.0,0.0
386,0.0,6.727937583640635e-07,1.3858299255529562e-06,0.0
345,2.0434183973281263e-07,4.693153692911001e-06,1.5884106387721033e-05,5.1766662925196844e-08
311,0.0,6.594711096835869e-07,1.7129740655724586e-09,0.0
875,0.0,7.011219166109715e-07,2.7809040117598912e-06,0.0
267,0.0,1.6412041897222893e-08,0.0,0.0
35,0.0,7.200711576004571e-07,7.789628511517836e-05,3.460207612456366e-07
78,0.0,1.5700433535058346e-07,0.0,0.0
604,1.4594723409551425e-05,0.00046796042687801846,0.00045392945069838616,4.103280488398564e-06
347,7.604947964347788e-07,2.5638375657757028e-05,3.6385689333938785e-05,7.468018152188697e-07
191,0.0,8.416772331126247e-07,9.310702947971995e-07,1.9439368609305425e-09
104,1.3032609327685547e-06,0.00021100162148615705,0.00016224166780293936,2.2334419831169714e-05
711,0.00579949467706522,0.006996964289219346,0.007811638050374355,0.005026977835391542
754,0.0001705119107853254,0.0009718513854265415,0.001146139771609354,7.867832791397751e-05
101,1.8059315982127169e-06,5.3715450164912206e-05,0.0006817290459049102,3.742447526517904e-05
790,0.0,1.4429143370276297e-07,0.0,0.0
926,0.0,6.435418558264954e-07,0.0,0.0
94,0.0007737805535703903,0.0017419784270759622,0.0020151708041891924,0.0006354931107446112
228,1.243964095022413e-06,1.5096832578978968e-05,0.0001317144167440671,5.21775094563492e-08
388,1.2815583749840764e-08,0.00040393691264232703,2.25926411481807e-06,1.9223344864946665e-08
828,0.003229107711729805,0.003929736148175295,0.004352745797530042,0.002750744930200235
90,0.0,7.239845878048075e-07,8.198659428797509e-07,1.8805476154654164e-09
672,0.0,1.572820681817194e-08,0.0,0.0
681,2.6981819727619774e-06,2.38514084724208e-05,0.00016010113451065511,3.77993289882165e-07
248,3.689873793340325e-05,0.00010449248437148583,0.00045013644912396877,4.150954882166098e-06
370,2.055258877560087e-06,4.2812710401846706e-05,7.769110878910462e-05,1.4327306722473645e-06
34,0.0,9.030691999743642e-06,4.975606004290572e-06,1.8908238319433696e-09
809,0.0,2.4453764045628033e-09,0.0,0.0
366,8.743010400966075e-06,5.2879935805505725e-05,0.0002626379579095813,1.4782023678116656e-06
238,0.0,8.781548605350065e-07,1.1026977248549021e-06,2.0235132236586935e-09
41,0.0,9.080192100507073e-06,5.002911692626206e-06,1.9012129738771242e-09
