node,age,shape,margin,density
241,3.460207612456366e-07,0.0,0.0,2.006920415224923e-05
852,1.2014609765473493e-09,0.0,0.0,1.97924709246445e-05
436,3.472262879326384e-07,0.0,0.0,1.9515034250644186e-05
386,2.4197251815613567e-09,0.0,0.0,1.923688645057472e-05
345,6.944692522935405e-07,0.0,0.0,1.8958019736392778e-05
311,6.96914077499326e-07,0.0,0.0,1.8678426209766217e-05
875,7.3361236274207155e-09,0.0,0.0,1.8398097860118066e-05
267,6.994021883138362e-07,0.0,0.0,1.8117026562626786e-05
35,0.0016874943273188325,0.0008362499000821747,0.00206630418118403,0.001927774841827587
78,7.018906662778083e-07,0.0,0.0,5.368502652264119e-07
604,7.04396917306896e-07,0.0,0.0,1.8529045580921712e-05
347,1.4882586522617034e-08,0.0,0.0,1.824915234320351e-05
191,1.493612100651134e-08,0.0,0.0,1.7968508310676382e-05
104,0.00031020364588065365,3.114186851211075e-05,4.463667820069212e-05,7.511292921107258e-05
711,1.499004202097528e-08,0.0,0.0,1.7687105038438e-05
754,7.070828673879478e-07,0.0,0.0,1.7404933958536124e-05
101,0.0020230633645940445,0.001282205920545043,0.002195448192508032,0.002048260769441811
790,7.096535635727277e-07,0.0,0.0,1.7121986377721117e-05
926,2.0205540703682873e-08,0.0,0.0,1.68382534751491e-05
94,0.0008821893694888305,0.0002150917012572934,0.0006780094217810829,0.0001244657103031269
228,7.12317020253832e-07,0.0,0.0,1.689964833782003e-05
388,8.145580590237077e-06,0.0,0.0,2.484762514360451e-05
828,2.289836624775605e-08,0.0,0.0,1.6615577770329192e-05
90,2.2982862064168434e-08,0.0,0.0,1.6330704267524586e-05
672,3.6908643822277626e-07,0.0,0.0,1.604501858234767e-05
681,3.70458369559501e-07,0.0,0.0,1.5758511329495808e-05
248,2.5822359668198917e-08,0.0,0.0,1.5471172982830955e-05
370,2.5919072625757715e-08,0.0,0.0,1.5182993872730344e-05
34,2.601651274841094e-08,0.0,0.0,1.4893964183377124e-05
809,2.6114688268216264e-08,0.0,0.0,1.4949948627615093e-05
366,3.7223174742684195e-07,0.0,0.0,1.4660487354621411e-05
238,3.73646935731983e-07,0.0,0.0,1.4370155387579114e-05
41,2.905507072257287e-08,0.0,0.0,1.6280560127539409e-06
371,0.002402796037309971,0.0014271448230241716,0.0023522659205443197,0.0021945651101162264
17,7.212020820453278e-07,0.0,0.0,1.5814444381849008e-05
435,3.194024699433384e-08,0.0,0.0,1.5529168536920595e-05
306,3.780811233000959e-07,0.0,0.0,1.7550767410181785e-06
552,3.352899912176587e-08,0.0,0.0,1.5941506869725434e-05
233,7.256942527522107e-07,0.0,0.0,1.5657443389187588e-05
504,3.64942053281814e-08,0.0,0.0,1.53725283756742e-05
937,3.663731985888015e-08,0.0,0.0,1.5086751465662385e-05
535,3.67815612756474e-08,0.0,0.0,1.480010213157961e-05
207,3.6926942940768537e-08,0.0,0.0,1.4858384114795786e-05
339,0.00027923766870313724,4.242743741095058e-05,4.0398354365967764e-05,7.215220637248812e-05
189,7.291075862242162e-07,0.0,0.0,1.4571319257642678e-05
676,3.997828952912362e-08,0.0,0.0,1.4283360596622976e-05
298,0.0006326829031174723,0.00020026520144677976,0.0006665254326475472,0.00011905052228856439
709,4.013820268724011e-08,0.0,0.0,1.399449705054773e-05
309,4.0299400288393686e-08,0.0,0.0,1.3704717359296112e-05
917,4.0461897870201726e-08,0.0,0.0,1.3759795955231638e-05
119,4.0625711221902945e-08,0.0,0.0,1.3469539491563028e-05
159,0.0009453785532384777,4.888245615657239e-05,0.0006544321144135718,0.00011507333230987696
945,1.0788409028694648e-06,0.0,0.0,1.317834367476906e-05
433,4.519428864608172e-08,0.0,0.0,1.2886196636304104e-05
429,4.537951114053288e-08,0.0,0.0,1.2938850480756543e-05
919,4.5566258099958936e-08,0.0,0.0,1.2646178196062593e-05
915,1.0838031057950692e-06,0.0,0.0,1.2352529967266076e-05
858,3.9626739282544923e-07,0.0,0.0,1.2403641763462581e-05
737,3.9791834185080825e-07,0.0,0.0,1.2109435570324568e-05
900,1.0916139146094458e-06,0.0,0.0,1.1814227605650338e-05
452,0.0009511678387917385,6.591895495808231e-05,0.0006419280520554494,0.0001126108655968689
625,1.0961991517121143e-06,0.0,0.0,1.1863738154448135e-05
6,0.0015312291801575291,0.00040084404625006305,0.001957551329542765,0.00038153596384694205
486,4.087941104288296e-07,0.0,0.0,1.1567937682432337e-05
472,4.105261156450067e-07,0.0,0.0,1.1271108439285272e-05
865,6.625872522097064e-08,0.0,0.0,1.1318955493664129e-05
541,0.0009040969668449996,0.00020397892366922466,0.000629576838061118,0.00011142270147382937
389,5.9200793757726166e-06,0.0,0.0,2.543923526607128e-05
304,7.585700962811993e-07,0.0,0.0,1.1021497253334135e-05
612,4.1581132930649e-07,0.0,0.0,1.1068691020757532e-05
194,4.1760344028999673e-07,0.0,0.0,1.0770586911225586e-05
