node,sepal_length,sepal_width,petal_length,petal_width
14,0.012166996442608042,0.01214572216364131,0.012248705206522143,0.012263384726546618
98,0.012357105762023791,0.012335499072448205,0.012440091225374051,0.01245500011289891
75,0.007864332212826383,0.007437160885027503,0.008289700000593116,0.008353825237228258
16,0.012556413919475788,0.012534458734907047,0.012640737858041375,0.012655887211494053
131,0.012765687484800385,0.01274336638048883,0.012851416822342065,0.012866818665018953
56,0.0,0.0,0.0,0.0
141,0.01298578554488315,0.012963079593945534,0.01307299297445141,0.013088660366139971
44,0.01321767457247035,0.013194563158123134,0.013306439277566615,0.013322386444106755
29,0.013462446323812393,0.013438906920310599,0.013552854819743774,0.013569097304182806
120,0.013721339522347246,0.01369734743800888,0.013813486643200385,0.0138300414831094
94,0.013995766312794191,0.013971294386769056,0.014089756376064393,0.014106642312771587
5,0.014287344777644071,0.014262363019826746,0.0143832929672324,0.014400530694287662
102,0.014597939229331985,0.01457241438982298,0.014695973249128759,0.014713585709380871
51,0.0016288888888888896,0.0011933333333333327,0.0022844444444444444,0.0023911111111111116
78,0.007729288187991434,0.007583874886058515,0.008358301892672762,0.008427252673872128
42,0.014929710575453167,0.01490360562595532,0.015029972641154412,0.015047985384594073
92,0.015285179874868719,0.015258453378954255,0.01538782913261047,0.015406270750893934
66,0.009207440045081972,0.009053272646380546,0.009763961205391105,0.009822691110611315
31,0.015667309371740434,0.015639914713428113,0.01577252486092573,0.01579142751966628
35,0.016079606986786236,0.016051491416413065,0.0161875913046343,0.016206991401762762
90,0.01652626273641919,0.016497366177980092,0.016637246618651923,0.016657185607367283
84,0.00930067094131449,0.009141230391147406,0.009873384159783609,0.00993465534073508
77,0.005820927036197858,0.00487645866745163,0.005990746154780362,0.006091767870694819
40,0.01701232928749034,0.016982582830273624,0.017126577401553447,0.01714710283111338
125,0.017543964577724412,0.017513288543719675,0.017661782945351992,0.01768294979458567
99,0.01812876339698189,0.018097064828510333,0.018250509043530393,0.018272381454405195
33,0.01877621923258839,0.0187433885723857,0.018902312937942194,0.018924966506348236
19,0.019498381510764863,0.019464288132862072,0.01962932497401689,0.01965284983351548
73,0.0203108140737134,0.020275300138397994,0.02044721351460093,0.02047171857657862
146,0.007699336618227322,0.007893835542137514,0.008340120175071195,0.008809642617584058
91,0.007998158923328436,0.007690807311798141,0.008652098559516746,0.008690451165708494
135,0.02123403289524583,0.021196904690143358,0.021376632310719155,0.021402251239150377
69,0.02229573454000812,0.022256749924650526,0.022445463926255113,0.022472363801107897
128,0.02353438645889746,0.023493236031575555,0.023692434144380395,0.023720828456725
114,0.025005285612578552,0.024961563283549027,0.02517321127840417,0.025203380235270315
48,0.026791377442048445,0.026744532089516812,0.026971297798290182,0.02700362168064676
53,0.02902399222888582,0.028973243096976548,0.029218905948147696,0.029253923487367328
28,0.0319263914517744,0.031870567406674204,0.032140796542962466,0.03217931583610406
54,0.0028663846253229965,0.0026933078191214467,0.0035890973643410845,0.003706448723514211
108,0.0359171903832462,0.03585438833250848,0.036158396110832776,0.03620173031561707
112,0.0419033887804539,0.0418301197212599,0.04218479546263824,0.04223535203488658
17,0.05237923597556737,0.05228764965157487,0.05273099432829781,0.052794190043608226
119,0.008027729145171001,0.009087751758144563,0.008761082692394933,0.008785157278590009
103,0.07856885396335107,0.0784314744773623,0.07909649149244671,0.07919128506541233
58,0.009585884381410548,0.009321313692676546,0.009995319024755315,0.010018684870417615
