node,checking account status,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,employment, Installment,status n sex, Other debtors / guarantors,residence,Property,Age in years,Other installment plans,Housing,existing credits no.,Job,liability responsibles,Telephone,foreign worker
507,9.523804209182623e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.360544217686925e-09
818,0.0029199395108260545,0.0022006519186491863,0.0021405155992334814,0.0019720075482202604,0.0026647364745132035,0.0019538628713750795,0.0021875517979245526,0.0019432309818477537,0.0020758433571726447,0.0019375289030182355,0.0019502397414250818,0.0020299016774045753,0.0019344216492357415,0.0025132956117548313,0.001953973538381279,0.001895798855911477,0.002064026199208941,0.0017570636407370876,0.0019902464902752785,0.0017725779224165216
452,0.00015443770105483641,8.898727865288309e-06,9.619760825431587e-07,5.1499368418451785e-06,1.028954663806364e-05,1.0659863233586002e-06,8.507809568290279e-06,3.4371883518136667e-06,5.483255171636568e-06,2.424027806115424e-06,2.1121422544125138e-06,5.493140088069029e-06,3.0873790257015054e-06,8.179432235677018e-06,4.4849480873577025e-06,2.7590008610005834e-06,4.098889796985225e-06,2.4207298404367922e-06,2.069264706844083e-06,2.395995188650871e-06
368,4.946005569342697e-07,2.150532324478049e-08,1.5360971204376333e-08,1.0752675584499844e-08,2.7649680175557316e-08,6.144389893073816e-09,1.0752677751364687e-08,4.608292829819376e-09,7.680484575230686e-09,2.3041439907028654e-08,1.0752675631310023e-08,1.843314994635778e-08,6.14438904540365e-09,7.680485251452033e-09,9.216580762462798e-09,4.608292829819376e-09,6.144389737281877e-09,7.680485251452034e-09,6.14438904540365e-09,6.144389045403651e-09
242,0.00010140003881087441,3.407885646909496e-05,3.6446191387743926e-05,2.5688919534211878e-05,4.758350753121168e-05,1.889550418103351e-05,2.4531540949304156e-05,2.186183169899958e-05,2.8137418055247516e-05,1.9537011283142585e-05,2.4187778858685165e-05,2.8046872852291068e-05,2.2389217434133038e-05,5.1519915070463365e-05,2.7063454450106952e-05,2.3274269299084888e-05,2.419767135287708e-05,1.922665291328233e-05,1.990946058944994e-05,1.8057917170042866e-05
929,1.0150370970662335e-05,1.347501796525788e-06,9.079973203240726e-07,8.917845016125349e-07,1.925621691793946e-06,4.504243198545328e-07,6.918272125915184e-07,6.954298603341477e-07,6.972309732979417e-07,5.350961978914054e-07,6.053558454548333e-07,8.971921214504614e-07,5.999511001528513e-07,1.5510334979326349e-06,7.999126920018269e-07,7.422680261685434e-07,7.062388092628385e-07,5.27889998081835e-07,4.666376760938622e-07,4.738434208331679e-07
262,4.269503363919711e-05,0.0001602851609475121,0.00026234932308337146,6.81122130874748e-05,0.00016303031860962934,6.356659022195561e-05,0.00012136256153488202,8.934748420822736e-05,0.00013089600726055655,8.781536744548886e-05,4.827320830367139e-05,3.109059748825772e-05,0.00010471991969001978,0.00026060007985260184,6.435508636792926e-05,7.018211284215671e-05,6.310518255830906e-05,7.451976379757386e-05,8.031947210097736e-05,7.864280061362699e-05
810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
318,0.0006099383279382932,0.0001845081105319721,0.00026021306666489043,0.0001131055948819063,0.00024698470634831134,6.262781441016966e-05,9.549167363357955e-05,7.392259107518065e-05,0.00012936023611122096,8.63572075139213e-05,0.0001181285846128174,4.825237528105574e-05,9.970280022816023e-05,0.0002584678016672739,0.0001259534856724848,9.090925194654344e-05,0.0001110674519006551,7.331425846287092e-05,7.448913344584609e-05,7.746216416398531e-05
49,0.0002597724336077442,4.5336941483533415e-05,1.8908002255091986e-05,3.122180514632166e-05,5.7570421040390106e-05,1.1451377799596731e-05,1.5025929451712661e-05,2.0028487289429506e-05,1.3365023061698767e-05,1.420246517831778e-05,2.327117369794699e-05,5.255475277568868e-05,1.5600497251290046e-05,6.253092485440367e-05,2.2465699019971968e-05,2.407441131022081e-05,2.170560357815985e-05,1.0862446946003086e-05,9.801193397252697e-06,1.4807703389924884e-05
